Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
64180.000,70.203,69.719,68.913,70.495,-25.091,-22.784,-22.592,-24.600
64490.000,69.975,69.495,68.723,70.250,-23.107,-20.760,-20.628,-22.612
64800.000,69.837,69.336,68.585,70.100,-21.122,-18.825,-18.785,-20.718
65110.000,69.763,69.225,68.488,69.948,-19.276,-16.941,-16.989,-18.863
65420.000,69.716,69.181,68.429,69.877,-17.455,-15.127,-15.254,-17.080
65730.000,69.702,69.184,68.408,69.788,-15.707,-13.316,-13.582,-15.403
66040.000,69.708,69.179,68.400,69.796,-13.998,-11.678,-11.952,-13.720
66350.000,69.749,69.243,68.412,69.740,-12.349,-10.027,-10.375,-12.144
66660.000,69.849,69.256,68.446,69.708,-10.750,-8.415,-8.830,-10.563
66970.000,69.888,69.346,68.480,69.753,-9.159,-6.860,-7.290,-8.979
67280.000,69.953,69.447,68.543,69.754,-7.649,-5.303,-5.806,-7.430
67590.000,70.052,69.519,68.610,69.761,-6.145,-3.838,-4.360,-5.927
67900.000,70.196,69.547,68.639,69.768,-4.664,-2.309,-2.944,-4.440
68210.000,70.277,69.719,68.714,69.790,-3.172,-0.919,-1.526,-2.979
68520.000,70.395,69.754,68.812,69.857,-1.772,0.516,-0.067,-1.533
68830.000,70.502,69.919,68.897,69.901,-0.252,1.981,1.329,-0.068
69140.000,70.594,69.924,68.947,69.916,1.156,3.458,2.712,1.360
69450.000,70.818,70.070,69.058,69.986,2.602,4.924,4.174,2.828
69760.000,70.960,70.206,69.155,70.150,4.046,6.312,5.569,4.252
70070.000,71.126,70.311,69.293,70.248,5.539,7.855,6.998,5.723
70380.000,71.301,70.508,69.481,70.395,7.036,9.359,8.436,7.233
70690.000,71.559,70.715,69.646,70.556,8.518,10.862,9.889,8.701
71000.000,71.840,70.958,69.938,70.771,9.946,12.353,11.338,10.145
71310.000,72.170,71.337,70.214,71.084,11.470,13.825,12.782,11.597
71620.000,72.474,71.660,70.427,71.371,12.919,15.191,14.167,13.116
71930.000,72.958,71.942,70.767,71.699,14.329,16.732,15.550,14.536
72240.000,73.247,72.326,71.183,72.031,15.727,18.131,16.995,15.913
72550.000,73.764,72.789,71.544,72.386,17.107,19.591,18.373,17.289
72860.000,74.213,73.188,71.900,72.767,18.647,20.930,19.707,18.657
73170.000,74.637,73.679,72.258,73.163,20.028,22.391,21.077,20.074
73480.000,75.073,74.082,72.691,73.429,21.303,23.728,22.433,21.326
73790.000,75.608,74.661,73.067,73.801,22.600,25.042,23.758,22.833
74100.000,76.103,75.054,73.490,74.181,24.076,26.477,25.123,24.171
74410.000,76.662,75.483,73.882,74.602,25.282,27.707,26.417,25.509
