Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
90000.000,111.268,115.676,114.380,135.856,213.871,212.101,217.616,214.768
90450.000,124.417,128.776,128.135,151.752,218.472,216.283,222.377,216.849
90900.000,139.195,143.511,143.640,169.216,221.994,219.392,226.101,217.020
91350.000,155.759,159.850,161.096,188.020,224.066,220.956,228.402,214.798
91800.000,173.920,177.805,180.380,207.803,224.220,220.561,228.495,209.713
92250.000,193.559,197.103,201.420,228.112,221.884,217.703,225.944,201.313
92700.000,214.254,217.232,223.688,248.271,216.430,211.691,219.788,189.164
93150.000,235.533,237.766,246.590,267.345,207.447,202.008,209.573,173.036
93600.000,256.391,257.790,269.026,284.196,194.282,188.436,194.476,152.563
94050.000,275.935,276.098,289.528,297.567,176.838,170.730,174.619,128.571
94500.000,292.864,291.578,306.549,306.221,155.329,149.143,150.043,101.914
94950.000,305.891,303.151,318.797,309.575,130.245,124.368,121.703,74.060
95400.000,314.007,309.823,325.174,307.417,102.683,97.578,91.358,46.345
95850.000,316.657,311.286,325.065,300.173,74.032,70.240,60.816,20.493
96300.000,313.633,307.506,318.994,288.792,46.153,43.833,31.621,-2.231
96750.000,305.761,299.121,308.025,274.606,20.291,19.677,5.545,-21.331
97200.000,293.909,287.421,293.377,258.728,-2.223,-1.278,-16.354,-36.495
97650.000,279.454,273.349,276.621,242.229,-21.110,-18.813,-33.875,-47.891
98100.000,263.634,258.220,259.079,226.113,-36.025,-32.544,-47.278,-56.050
98550.000,247.260,242.720,241.658,210.640,-47.465,-43.007,-57.010,-61.602
99000.000,231.195,227.537,224.976,196.329,-55.769,-50.640,-63.737,-64.953
99450.000,215.823,213.086,209.289,183.201,-61.516,-55.983,-68.000,-66.681
99900.000,201.379,199.485,194.804,171.245,-65.168,-59.437,-70.369,-67.231
100350.000,186.622,185.507,180.123,159.254,-67.250,-61.493,-71.271,-66.749
100800.000,175.765,175.245,169.517,150.580,-67.776,-62.065,-70.994,-65.699
101250.000,163.477,163.509,157.482,140.705,-67.337,-61.652,-69.642,-63.864
101700.000,154.540,155.005,148.838,133.601,-66.306,-60.757,-68.067,-62.090
102150.000,144.485,145.399,139.062,125.553,-64.398,-58.974,-65.518,-59.468
102600.000,137.255,138.445,132.098,119.737,-62.496,-57.197,-63.196,-57.226
103050.000,129.099,130.611,124.270,113.188,-59.809,-54.647,-60.017,-54.230
103500.000,123.218,124.975,118.684,108.476,-57.488,-52.483,-57.312,-51.766
103950.000,116.626,118.616,112.481,103.168,-54.428,-49.585,-53.876,-48.642
104400.000,111.874,114.037,108.033,99.345,-51.912,-47.220,-51.129,-46.142
104850.000,106.552,108.859,103.064,95.019,-48.740,-44.199,-47.726,-43.031
105300.000,102.705,105.129,99.484,91.890,-46.201,-41.789,-45.041,-40.575
105750.000,98.380,100.913,95.470,88.365,-43.049,-38.764,-41.746,-37.540
106200.000,95.250,97.862,92.577,85.820,-40.578,-36.378,-39.168,-35.157
106650.000,91.721,94.416,89.323,82.947,-37.536,-33.425,-36.034,-32.249
107100.000,89.185,91.937,86.968,80.877,-35.146,-31.091,-33.586,-29.972
107550.000,86.307,89.156,84.318,78.541,-32.229,-28.219,-30.602,-27.204
108000.000,84.255,87.171,82.418,76.859,-29.945,-25.973,-28.267,-25.042
108450.000,81.937,84.959,80.306,74.983,-27.168,-23.248,-25.447,-22.408
108900.000,80.284,83.394,78.785,73.649,-25.016,-21.145,-23.259,-20.378
109350.000,78.436,81.645,77.094,72.169,-22.419,-18.620,-20.614,-17.926
109800.000,77.108,80.402,75.895,71.112,-20.412,-16.688,-18.570,-16.045
110250.000,75.627,78.993,74.549,69.922,-17.997,-14.365,-16.103,-13.781
110700.000,74.563,77.975,73.596,69.061,-16.130,-12.573,-14.200,-12.026
111150.000,73.373,76.839,72.563,68.102,-13.880,-10.410,-11.883,-9.894
111600.000,72.521,76.011,71.821,67.427,-12.141,-8.727,-10.084,-8.233
112050.000,71.590,75.106,71.059,66.694,-10.037,-6.695,-7.912,-6.221
112500.000,70.927,74.478,70.542,66.192,-8.397,-5.122,-6.239,-4.661
112950.000,70.210,73.786,69.994,65.666,-6.426,-3.205,-4.208,-2.769
113400.000,69.721,73.314,69.635,65.322,-4.896,-1.723,-2.655,-1.305
113850.000,69.195,72.822,69.320,64.977,-3.064,0.060,-0.778,0.444
114300.000,68.862,72.498,69.142,64.769,-1.640,1.445,0.664,1.811
114750.000,68.527,72.177,68.992,64.571,0.049,3.104,2.375,3.431
115200.000,68.304,71.991,68.933,64.477,1.364,4.390,3.688,4.676
115650.000,68.118,71.823,68.948,64.414,2.929,5.918,5.239,6.196
116100.000,68.018,71.743,69.008,64.412,4.143,7.085,6.420,7.340
116550.000,67.939,71.693,69.138,64.480,5.584,8.495,7.810,8.715
117000.000,67.933,71.697,69.285,64.562,6.686,9.570,8.857,9.755
117450.000,67.971,71.774,69.511,64.710,8.006,10.837,10.074,11.005
117900.000,68.036,71.856,69.707,64.859,9.008,11.800,10.992,11.959
118350.000,68.168,71.996,69.966,65.092,10.190,12.960,12.069,13.075
118800.000,68.290,72.154,70.202,65.305,11.094,13.839,12.882,13.932
119250.000,68.495,72.367,70.501,65.587,12.165,14.862,13.856,14.928
119700.000,68.673,72.550,70.763,65.834,12.986,15.642,14.595,15.672
120150.000,68.920,72.816,71.100,66.153,13.928,16.554,15.435,16.552
120600.000,69.126,73.038,71.392,66.408,14.650,17.248,16.083,17.212
121050.000,69.406,73.329,71.738,66.751,15.482,18.047,16.845,17.985
121500.000,69.615,73.561,72.037,67.024,16.128,18.663,17.427,18.545
121950.000,69.911,73.881,72.421,67.352,16.876,19.383,18.096,19.252
122400.000,70.159,74.142,72.725,67.612,17.434,19.943,18.620,19.728
122850.000,70.440,74.454,73.137,67.944,18.124,20.560,19.210,20.360
123300.000,70.712,74.746,73.508,68.220,18.639,21.059,19.643,20.843
123750.000,71.036,75.102,73.914,68.543,19.259,21.621,20.156,21.334
124200.000,71.303,75.387,74.297,68.831,19.717,22.019,20.530,21.773
124650.000,71.664,75.748,74.732,69.136,20.239,22.494,20.930,22.242
125100.000,71.950,76.027,75.096,69.394,20.626,22.823,21.213,22.605
125550.000,72.313,76.387,75.514,69.694,21.056,23.195,21.493,22.994
126000.000,72.583,76.663,75.831,69.960,21.359,23.456,21.692,23.297
126450.000,72.929,76.978,76.225,70.230,21.701,23.746,21.912,23.631
126900.000,73.175,77.205,76.523,70.438,21.930,23.943,22.048,23.875
127350.000,73.460,77.478,76.876,70.672,22.200,24.170,22.185,24.184
127800.000,73.674,77.672,77.134,70.813,22.388,24.322,22.266,24.398
128250.000,73.903,77.890,77.412,71.015,22.605,24.506,22.338,24.677
128700.000,74.064,78.039,77.615,71.120,22.757,24.628,22.366,24.893
129150.000,74.254,78.205,77.847,71.260,22.935,24.766,22.389,25.148
129600.000,74.370,78.309,77.988,71.348,23.061,24.858,22.382,25.359
130050.000,74.510,78.422,78.137,71.437,23.209,24.960,22.340,25.649
130500.000,74.597,78.486,78.228,71.510,23.310,25.025,22.298,25.886
130950.000,74.675,78.527,78.265,71.580,23.425,25.091,22.233,26.161
131400.000,74.703,78.520,78.260,71.638,23.486,25.130,22.156,26.377
131850.000,74.695,78.460,78.203,71.694,23.562,25.166,22.089,26.664
132300.000,74.645,78.366,78.098,71.724,23.611,25.201,22.021,26.885
132750.000,74.515,78.177,77.903,71.726,23.691,25.246,21.973,27.142
133200.000,74.354,77.978,77.684,71.710,23.771,25.315,21.954,27.357
133650.000,74.117,77.684,77.385,71.678,23.908,25.436,21.973,27.660
134100.000,73.882,77.409,77.102,71.628,24.056,25.571,22.025,27.905
134550.000,73.561,77.024,76.692,71.548,24.271,25.790,22.134,28.198
135000.000,73.264,76.691,76.348,71.443,24.501,25.999,22.264,28.453
135450.000,72.874,76.239,75.874,71.306,24.812,26.334,22.486,28.782
135900.000,72.553,75.863,75.474,71.136,25.108,26.639,22.713,29.070
136350.000,72.119,75.369,74.950,70.924,25.550,27.089,23.045,29.457
136800.000,71.738,74.957,74.512,70.699,25.947,27.497,23.364,29.804
137250.000,71.284,74.436,73.935,70.414,26.501,28.066,23.836,30.293
137700.000,70.905,74.002,73.464,70.158,26.981,28.589,24.271,30.728
138150.000,70.427,73.467,72.873,69.808,27.680,29.300,24.879,31.331
138600.000,70.050,73.044,72.395,69.522,28.300,29.924,25.433,31.867
139050.000,69.568,72.513,71.791,69.146,29.112,30.796,26.195,32.619
139500.000,69.210,72.112,71.306,68.853,29.829,31.552,26.873,33.287
139950.000,68.748,71.602,70.722,68.482,30.797,32.573,27.811,34.182
140400.000,68.388,71.223,70.268,68.207,31.629,33.468,28.621,34.970
140850.000,67.993,70.777,69.713,67.862,32.752,34.636,29.744,36.020
141300.000,67.676,70.438,69.289,67.607,33.705,35.645,30.710,36.943
141750.000,67.341,70.089,68.818,67.334,34.984,36.984,31.998,38.172
142200.000,67.094,69.828,68.473,67.145,36.063,38.116,33.097,39.210
142650.000,66.843,69.564,68.087,66.949,37.492,39.615,34.577,40.611
143100.000,66.679,69.394,67.834,66.827,38.690,40.874,35.840,41.794
143550.000,66.531,69.254,67.564,66.763,40.270,42.507,37.457,43.339
144000.000,66.463,69.203,67.403,66.763,41.587,43.873,38.821,44.624
144450.000,66.442,69.194,67.302,66.830,43.312,45.654,40.631,46.330
144900.000,66.484,69.264,67.257,66.947,44.748,47.149,42.112,47.732
145350.000,66.617,69.408,67.309,67.161,46.602,49.033,44.068,49.554
145800.000,66.795,69.619,67.414,67.415,48.145,50.631,45.679,51.055
146250.000,67.101,69.951,67.620,67.810,50.140,52.642,47.777,52.998
146700.000,67.423,70.280,67.874,68.207,51.785,54.321,49.524,54.596
147150.000,67.946,70.828,68.286,68.812,53.883,56.429,51.771,56.626
147600.000,68.441,71.320,68.728,69.380,55.617,58.145,53.621,58.287
148050.000,69.197,72.106,69.420,70.201,57.800,60.340,56.013,60.388
148500.000,69.898,72.809,70.089,70.946,59.581,62.160,57.961,62.090
148950.000,70.879,73.784,71.061,71.955,61.790,64.350,60.404,64.217
149400.000,71.759,74.635,71.957,72.857,63.568,66.112,62.381,65.938
149850.000,72.957,75.787,73.210,74.044,65.796,68.388,64.841,68.079
150300.000,73.970,76.769,74.301,75.050,67.582,70.196,66.802,69.820
150750.000,75.314,78.060,75.780,76.378,69.811,72.468,69.294,72.009
151200.000,76.446,79.160,77.050,77.495,71.626,74.336,71.257,73.799
151650.000,77.934,80.622,78.716,78.981,73.929,76.716,73.780,76.118
152100.000,79.192,81.847,80.181,80.260,75.810,78.656,75.790,77.987
152550.000,80.906,83.511,82.070,81.925,78.218,81.180,78.368,80.467
153000.000,82.317,84.913,83.678,83.400,80.186,83.222,80.477,82.482
153450.000,84.263,86.864,85.880,85.384,82.742,85.868,83.142,85.066
153900.000,85.925,88.534,87.705,87.125,84.829,88.029,85.324,87.183
154350.000,88.156,90.739,90.276,89.403,87.444,90.790,88.076,89.899
154800.000,90.065,92.677,92.358,91.408,89.633,93.048,90.281,92.120
155250.000,92.646,95.321,95.280,94.061,92.397,95.909,93.135,94.949
155700.000,94.845,97.576,97.748,96.373,94.663,98.239,95.534,97.216
156150.000,97.893,100.567,101.003,99.522,97.529,101.265,98.424,100.130
156600.000,100.478,103.195,103.914,102.223,99.839,103.587,100.769,102.453
157050.000,103.921,106.785,107.763,105.858,102.729,106.625,103.788,105.446
157500.000,106.895,109.749,111.040,108.891,105.026,109.064,106.137,107.811
157950.000,110.903,113.872,115.483,113.148,107.976,112.097,109.069,110.754
158400.000,114.305,117.337,119.268,116.702,110.301,114.533,111.433,113.086
158850.000,118.861,122.019,124.400,121.464,113.215,117.515,114.218,115.948
159300.000,122.768,126.022,128.734,125.485,115.553,119.862,116.431,118.232
159750.000,128.076,131.350,134.510,131.016,118.338,122.768,119.178,121.046
160200.000,132.498,135.963,139.495,135.579,120.492,125.103,121.280,123.218
160650.000,138.532,142.006,146.092,141.851,123.117,127.796,123.657,125.878
161100.000,143.689,147.244,151.714,147.167,125.134,129.975,125.475,127.863
161550.000,150.313,154.107,159.165,154.149,127.472,132.396,127.556,130.238
162000.000,156.109,159.977,165.513,160.133,129.285,134.154,129.005,132.048
162450.000,163.726,167.712,173.854,168.098,131.270,136.326,130.461,133.978
162900.000,170.201,174.345,180.955,174.787,132.762,137.724,131.531,135.321
163350.000,178.719,183.123,190.243,183.683,134.084,139.375,132.442,136.902
163800.000,185.974,190.525,198.177,191.367,135.094,140.245,132.768,137.860
164250.000,195.521,200.331,208.480,201.347,135.960,141.184,132.833,138.720
164700.000,203.594,208.520,217.307,209.959,136.344,141.415,132.445,138.848
165150.000,214.410,219.458,228.840,221.269,136.372,141.484,131.429,138.824
165600.000,223.500,228.698,238.615,230.993,136.052,141.075,129.966,138.356
166050.000,235.868,240.808,251.451,243.966,134.940,139.900,127.475,136.903
166500.000,246.082,251.452,262.367,254.977,133.417,138.477,124.476,135.258
