Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
260000.000,85.609,90.047,90.937,82.819,175.807,179.093,176.201,171.328
261100.000,92.223,97.196,98.088,89.121,178.862,182.099,179.050,174.275
262200.000,99.551,105.089,105.979,96.082,181.691,184.789,181.586,177.010
263300.000,107.604,113.783,114.647,103.748,184.189,187.089,183.688,179.432
264400.000,116.444,123.297,124.140,112.147,186.221,188.799,185.212,181.425
265500.000,126.098,133.665,134.419,121.328,187.644,189.836,186.022,182.847
266600.000,136.558,144.786,145.538,131.236,188.337,189.936,185.908,183.588
267700.000,147.784,156.811,157.416,141.922,188.075,188.966,184.667,183.468
268800.000,159.783,169.527,169.978,153.336,186.671,186.658,182.046,182.252
269900.000,172.397,182.796,183.082,165.387,183.875,182.744,177.790,179.782
271000.000,185.649,196.475,196.467,177.959,179.493,176.996,171.652,175.758
272100.000,199.089,210.209,209.844,190.843,173.172,169.063,163.355,169.936
273200.000,212.548,223.602,222.685,203.702,164.661,158.780,152.682,162.065
274300.000,225.481,236.098,234.478,216.131,153.774,145.987,139.644,151.930
275400.000,237.283,246.852,244.491,227.505,140.391,130.742,124.266,139.517
276500.000,247.318,255.410,252.207,237.314,124.685,113.326,106.915,124.820
277600.000,254.848,261.047,256.932,244.841,107.070,94.309,88.238,108.222
278700.000,259.272,263.333,258.428,249.472,88.044,74.500,68.917,90.309
279800.000,260.454,262.171,256.633,251.043,68.579,54.814,49.912,71.886
280900.000,258.287,257.781,251.766,249.509,49.514,36.052,31.986,53.719
282000.000,253.176,250.645,244.399,245.076,31.641,19.011,15.771,36.558
283100.000,245.610,241.378,235.121,238.277,15.482,4.075,1.653,20.995
284200.000,236.160,230.717,224.536,229.667,1.446,-8.528,-10.207,7.360
285300.000,225.457,219.235,213.244,219.766,-10.341,-18.713,-19.814,-4.147
286400.000,214.046,207.432,201.728,209.158,-19.888,-26.844,-27.326,-13.595
287500.000,202.436,195.676,190.292,198.221,-27.314,-32.968,-32.997,-21.010
288600.000,190.917,184.208,179.150,187.271,-32.861,-37.338,-36.938,-26.625
289700.000,179.694,173.385,168.664,176.742,-36.713,-40.206,-39.560,-30.714
290800.000,169.092,163.116,158.760,166.648,-39.176,-41.833,-40.999,-33.417
291900.000,159.182,153.582,149.544,157.117,-40.464,-42.543,-41.504,-34.964
293000.000,149.994,144.774,141.038,148.252,-40.828,-42.389,-41.229,-35.582
294100.000,141.549,136.679,133.243,140.049,-40.453,-41.579,-40.328,-35.451
295200.000,133.818,129.297,126.083,132.515,-39.500,-40.261,-38.975,-34.708
296300.000,126.761,122.589,119.584,125.626,-38.093,-38.555,-37.207,-33.491
297400.000,120.331,116.475,113.687,119.335,-36.331,-36.542,-35.157,-31.898
298500.000,114.502,110.954,108.358,113.625,-34.305,-34.315,-32.887,-30.014
299600.000,109.225,105.977,103.549,108.445,-32.062,-31.903,-30.449,-27.895
300700.000,104.435,101.476,99.234,103.765,-29.675,-29.366,-27.880,-25.609
301800.000,100.135,97.450,95.373,99.558,-27.173,-26.746,-25.254,-23.181
302900.000,96.268,93.845,91.942,95.801,-24.591,-24.088,-22.589,-20.679
304000.000,92.814,90.668,88.894,92.457,-21.976,-21.389,-19.890,-18.122
305100.000,89.736,87.832,86.204,89.489,-19.313,-18.703,-17.232,-15.536
306200.000,86.979,85.319,83.871,86.856,-16.670,-16.022,-14.610,-12.982
307300.000,84.595,83.196,81.804,84.582,-14.031,-13.412,-11.980,-10.381
308400.000,82.531,81.291,80.001,82.605,-11.451,-10.869,-9.443,-7.867
309500.000,80.715,79.685,78.519,80.907,-8.900,-8.373,-6.953,-5.387
310600.000,79.160,78.308,77.242,79.486,-6.410,-5.937,-4.531,-2.967
311700.000,77.868,77.151,76.189,78.311,-3.997,-3.601,-2.193,-0.605
312800.000,76.806,76.274,75.413,77.347,-1.631,-1.326,0.058,1.655
313900.000,75.978,75.560,74.810,76.660,0.630,0.879,2.226,3.825
315000.000,75.376,75.074,74.408,76.149,2.775,2.946,4.275,5.899
316100.000,74.976,74.771,74.220,75.845,4.823,4.916,6.194,7.850
317200.000,74.756,74.648,74.203,75.755,6.759,6.731,7.988,9.664
318300.000,74.699,74.714,74.357,75.802,8.534,8.417,9.574,11.315
319400.000,74.832,74.927,74.663,76.028,10.177,9.923,11.026,12.801
320500.000,75.112,75.272,75.063,76.365,11.598,11.217,12.209,14.059
321600.000,75.490,75.729,75.529,76.785,12.829,12.288,13.192,15.108
322700.000,75.963,76.184,75.988,77.252,13.844,13.124,13.905,15.927
323800.000,76.444,76.665,76.400,77.668,14.596,13.707,14.413,16.520
324900.000,76.897,77.037,76.660,78.019,15.085,14.066,14.689,16.910
326000.000,77.198,77.269,76.766,78.167,15.399,14.245,14.849,17.103
327100.000,77.337,77.284,76.685,78.186,15.527,14.297,15.005,17.232
328200.000,77.275,77.120,76.404,77.974,15.586,14.346,15.169,17.360
329300.000,76.926,76.749,75.944,77.641,15.663,14.414,15.459,17.530
330400.000,76.469,76.205,75.438,77.127,15.918,14.636,15.904,17.903
331500.000,75.915,75.626,74.957,76.602,16.290,15.060,16.515,18.415
332600.000,75.345,75.066,74.557,76.184,16.894,15.700,17.329,19.103
333700.000,74.877,74.615,74.273,75.838,17.677,16.432,18.204,19.967
334800.000,74.517,74.279,74.160,75.634,18.572,17.301,19.161,20.853
335900.000,74.333,74.112,74.192,75.602,19.537,18.235,20.121,21.809
337000.000,74.318,74.094,74.359,75.724,20.521,19.154,21.079,22.744
338100.000,74.454,74.265,74.697,75.962,21.491,20.048,21.970,23.655
339200.000,74.740,74.532,75.153,76.364,22.424,20.893,22.809,24.502
340300.000,75.167,74.942,75.704,76.856,23.277,21.655,23.527,25.285
341400.000,75.680,75.476,76.338,77.439,24.012,22.318,24.201,25.970
342500.000,76.319,76.052,77.071,78.151,24.679,22.881,24.752,26.548
343600.000,77.021,76.716,77.878,78.916,25.203,23.344,25.179,27.043
