cruise,vessel_name,date,set,data_type_name,common_name,sequence_number,sample_weight,weight_unit_name,length_unit_name,comment,specimen_number,fish_length,length_type_name,standardLength_mm,forkLength_mm,weight_orig,weightg,sex,maturity
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,33,150,Standard length,150,161,46,46,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,34,142,Standard length,142,154,39,39,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,35,137,Standard length,137,150,36,36,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,36,137,Standard length,137,150,36,36,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,37,132,Standard length,132,145,33,33,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,38,138,Standard length,138,151,36,36,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,39,142,Standard length,142,153,36,36,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,40,140,Standard length,140,152,35,35,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,41,136,Standard length,136,148,33,33,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,42,145,Standard length,145,156,43,43,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,43,139,Standard length,139,151,32,32,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,44,157,Standard length,157,171,49,49,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,45,148,Standard length,148,160,44,44,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,46,140,Standard length,140,152,37,37,Female,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,47,139,Standard length,139,160,45,45,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,48,139,Standard length,139,151,35,35,Female,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,49,150,Standard length,150,161,48,48,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,50,139,Standard length,139,151,36,36,Male,1
,Lisa Marie,6/21/2019,1,Research,Starry Flounder,1,,Grams,Centimeters,From Set #1,1,34,Fork length,,34,501,501,Female,
,Lisa Marie,6/21/2019,1,Research,Starry Flounder,1,,Grams,Centimeters,From Set #1,2,28,Fork length,,28,287,287,Female,
,Lisa Marie,6/21/2019,1,Research,Starry Flounder,1,,Grams,Centimeters,From Set #1,3,26,Fork length,,26,225,225,Male,
,Lisa Marie,6/21/2019,1,Research,Starry Flounder,1,,Grams,Centimeters,From Set #1,4,20,Fork length,,20,95,95,Male,
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,1,139,Standard length,139,151,32,32,Female,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,2,141,Standard length,141,151,36,36,Female,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,3,140,Standard length,140,151,38,38,Male,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,4,145,Standard length,145,157,38,38,Male,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,5,140,Standard length,140,150,34,34,Female,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,6,144,Standard length,144,156,40,40,Male,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,7,138,Standard length,138,150,30,30,Female,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,8,120,Standard length,120,133,22,22,Male,1
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,9,142,Standard length,142,151,34,34,Female,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,10,135,Standard length,135,148,32,32,Male,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,11,124,Standard length,124,136,22,22,Female,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,12,135,Standard length,135,145,34,34,Female,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,13,140,Standard length,140,155,38,38,Male,1
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,14,130,Standard length,130,140,25,25,Male,1
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,15,135,Standard length,135,146,34,34,Male,1
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,16,147,Standard length,147,160,40,40,Female,2
,Lisa Marie,6/21/2019,2,Research,Pacific Herring,3,,Grams,Millimeters,From Set 2,17,143,Standard length,143,151,34,34,Male,2
,Lisa Marie,6/22/2019,2,Research,Black Rockfish,19,,Grams,Centimeters,set 2,1,50,Fork length,,50,2170,2170,Male,
,Lisa Marie,6/22/2019,2,Research,Pacific Whiting (Hake),1,,No Weight,Millimeters,,1,50,Fork length,,50,,,Not Sexed,
,Lisa Marie,6/22/2019,3,Research,Northern Anchovy,1,,Grams,Millimeters,Off transect.  Set 3,1,100,Standard length,100,,10,10,Male,2
,Lisa Marie,6/22/2019,3,Research,Northern Anchovy,1,,Grams,Millimeters,Off transect.  Set 3,2,91,Standard length,91,,6,6,Female,2
,Lisa Marie,6/22/2019,3,Research,Northern Anchovy,1,,Grams,Millimeters,Off transect.  Set 3,3,95,Standard length,95,,8,8,Female,2
,Lisa Marie,6/22/2019,3,Research,Northern Anchovy,1,,Grams,Millimeters,Off transect.  Set 3,4,98,Standard length,98,,10,10,Female,1
,Lisa Marie,6/22/2019,3,Research,Pacific Cod,1,,Grams,Millimeters,These fish were not on the transect. Took these samples for our own knowledge.  Set 3,2,185,Fork length,,185,52,52,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Cod,1,,Grams,Millimeters,These fish were not on the transect. Took these samples for our own knowledge.  Set 3,3,179,Fork length,,179,48,48,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Cod,1,,Grams,Millimeters,These fish were not on the transect. Took these samples for our own knowledge.  Set 3,4,150,Fork length,,150,30,30,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Cod,1,,Grams,Millimeters,These fish were not on the transect. Took these samples for our own knowledge.  Set 3,5,138,Fork length,,138,22,22,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Cod,1,,Grams,Millimeters,These fish were not on the transect. Took these samples for our own knowledge.  Set 3,6,80,Fork length,,80,5,5,Unknown,
,Lisa Marie,6/22/2019,3,Research,Pacific Cod,1,,Grams,Millimeters,These fish were not on the transect. Took these samples for our own knowledge.  Set 3,7,60,Fork length,,60,4,4,Unknown,
,Lisa Marie,6/22/2019,3,Research,Pacific Cod,1,,Grams,Millimeters,These fish were not on the transect. Took these samples for our own knowledge.  Set 3,1,158,Fork length,,158,52,52,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,1,134,Standard length,134,144,28,28,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,2,135,Standard length,135,145,30,30,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,3,141,Standard length,141,154,32,32,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,4,137,Standard length,137,148,34,34,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,5,160,Standard length,160,172,54,54,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,6,147,Standard length,147,157,40,40,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,7,140,Standard length,140,151,38,38,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,8,137,Standard length,137,147,33,33,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,9,142,Standard length,142,152,38,38,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,10,137,Standard length,137,148,32,32,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,11,138,Standard length,138,150,36,36,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,12,137,Standard length,137,150,36,36,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,13,137,Standard length,137,149,34,34,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,14,137,Standard length,137,146,34,34,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,15,138,Standard length,138,149,34,34,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,16,148,Standard length,148,160,44,44,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,17,137,Standard length,137,149,32,32,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,18,137,Standard length,137,147,32,32,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,19,132,Standard length,132,142,30,30,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,20,145,Standard length,145,158,40,40,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,21,142,Standard length,142,154,40,40,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,22,137,Standard length,137,147,30,30,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,23,139,Standard length,139,149,32,32,Male,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,24,138,Standard length,138,150,36,36,Female,
,Lisa Marie,6/22/2019,3,Research,Pacific Herring,4,,Grams,Millimeters,These fish were not on transect. Did length weight sex for our own knowledge.  Found out after this set that we can make sets off transect.,25,138,Standard length,138,150,34,34,Female,
,Lisa Marie,6/23/2019,1,Research,Pacific Cod,2,,Grams,Millimeters,Set 1,1,60,Fork length,,60,2,2,Unknown,
,Lisa Marie,6/23/2019,1,Research,Pacific Cod,2,,Grams,Millimeters,Set 1,2,75,Fork length,,75,4,4,Unknown,
,Lisa Marie,6/23/2019,1,Research,Pacific Cod,2,,Grams,Millimeters,Set 1,3,58,Fork length,,58,2,2,Unknown,
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,1,145,Fork length,,145,32,32,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,2,156,Fork length,,156,36,36,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,3,153,Fork length,,153,38,38,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,4,147,Fork length,,147,30,30,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,5,149,Fork length,,149,36,36,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,6,143,Fork length,,143,36,36,Male,1
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,7,152,Fork length,,152,38,38,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,8,141,Fork length,,141,30,30,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,9,154,Fork length,,154,40,40,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,10,142,Fork length,,142,28,28,Male,1
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,11,143,Fork length,,143,34,34,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,12,151,Fork length,,151,34,34,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,13,142,Fork length,,142,32,32,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,14,155,Fork length,,155,38,38,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,15,144,Fork length,,144,28,28,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,16,145,Fork length,,145,38,38,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,17,140,Fork length,,140,28,28,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,18,144,Fork length,,144,34,34,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,19,152,Fork length,,152,32,32,Male,1
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,20,148,Fork length,,148,34,34,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,21,150,Fork length,,150,30,30,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,22,146,Fork length,,146,32,32,Female,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,23,150,Fork length,,150,36,36,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,24,155,Fork length,,155,40,40,Male,2
,Lisa Marie,6/23/2019,1,Research,Pacific Herring,5,1678,Grams,Millimeters,Set 1 Fish Number 6 and 21 lost the otoliths.,25,147,Fork length,,147,36,36,Male,2
