Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
142,142.1A,48.662373,-124.87127,Adaptive,Vancouver Is.,-14
142,142.2A,48.532982,-125.035157,Adaptive,Vancouver Is.,-77
144,144.1A,48.821077,-125.316671,Adaptive,Vancouver Is.,-15
144,144.2A,48.526764,-125.690296,Adaptive,Vancouver Is.,-86
146,146.1A,49.015644,-125.716543,Adaptive,Vancouver Is.,-12
146,146.2A,48.52051,-126.349182,Adaptive,Vancouver Is.,-870
148,148.1A,49.21591,-126.110031,Adaptive,Vancouver Is.,-1
148,148.2A,48.603043,-126.897905,Adaptive,Vancouver Is.,-1690
150,150.1A,49.377531,-126.558134,Adaptive,Vancouver Is.,-6
150,150.2A,48.877197,-127.20258,Adaptive,Vancouver Is.,-2000
152,152.1A,49.650604,-126.862154,Adaptive,Vancouver Is.,-4
152,152.2A,49.103101,-127.570344,Adaptive,Vancouver Is.,-1948
154,154.1A,49.897069,-127.201385,Adaptive,Vancouver Is.,-3
154,154.2A,49.397408,-127.85044,Adaptive,Vancouver Is.,-2445
156,156.1A,50.100355,-127.597864,Adaptive,Vancouver Is.,-35
156,156.2A,49.596734,-128.254851,Adaptive,Vancouver Is.,-2326
158,158.1A,50.315145,-127.980651,Adaptive,Vancouver Is.,-24
158,158.2A,49.828775,-128.617847,Adaptive,Vancouver Is.,-2211
160,160.1A,50.590591,-128.284867,Adaptive,Vancouver Is.,-4
160,160.2A,50.081506,-128.954683,Adaptive,Vancouver Is.,-2018
1,001.1JCF,28.541622,-114.19955,Carranza,Mexico,-40
1,001.2JCF,27.666783,-115.81079,Carranza,Mexico,-4467
3,003.1JCF,28.788288,-114.478647,Carranza,Mexico,-85
3,003.101JCF,28.431315,-115.16437,Carranza,Mexico,-117
3,003.102JCF,28.472688,-115.323785,Carranza,Mexico,-219
3,003.103JCF,28.396058,-115.360173,Carranza,Mexico,-309
3,003.104JCF,28.33318,-115.353242,Carranza,Mexico,-226
3,003.2JCF,27.961827,-116.044267,Carranza,Mexico,-4561
5,005.1JCF,29.045545,-114.731394,Carranza,Mexico,-82
5,005.2JCF,28.519668,-115.741911,Carranza,Mexico,-1421
7,007.1JCF,29.313044,-114.965185,Carranza,Mexico,-31
7,007.2JCF,28.729513,-116.060732,Carranza,Mexico,-1758
9,009.1JCF,29.492356,-115.36982,Carranza,Mexico,-47
9,009.2JCF,29.027697,-116.2507,Carranza,Mexico,-849
11,011.1JCF,29.699688,-115.721624,Carranza,Mexico,-24
11,011.2JCF,29.325864,-116.445355,Carranza,Mexico,-1443
13,013.1JCF,30.013193,-115.868753,Carranza,Mexico,-52
13,013.2JCF,29.434972,-116.981403,Carranza,Mexico,-2698
15,015.1JCF,30.34007,-115.989981,Carranza,Mexico,-24
15,015.2JCF,29.721643,-117.1844,Carranza,Mexico,-2757
17,017.1JCF,30.654878,-116.134093,Carranza,Mexico,-33
17,017.2JCF,29.994309,-117.418725,Carranza,Mexico,-2024
19,019.1JCF,30.937264,-116.34453,Carranza,Mexico,-35
19,019.2JCF,30.276458,-117.633047,Carranza,Mexico,-1043
21,021.1JCF,31.254407,-116.48262,Carranza,Mexico,-297
21,021.2JCF,30.687697,-117.594161,Carranza,Mexico,-1679
23,023.1JCF,31.506284,-116.751504,Carranza,Mexico,-228
23,023.2JCF,30.96071,-117.824468,Carranza,Mexico,-1956
25,025.1JCF,31.868115,-116.801517,Carranza,Mexico,-41
25,025.2JCF,31.229571,-118.063713,Carranza,Mexico,-1284
27,027.1JCF,32.148206,-117.018522,Carranza,Mexico,-311
27,027.2JCF,31.569023,-118.163813,Carranza,Mexico,-985
29,029.1JCF,32.441308,-117.206474,Carranza,Mexico,-47
29,029.2JCF,32.034859,-118.013589,Carranza,Mexico,-1879
3,003.1C,28.371141,-114.161521,Compulsory,Mexico,-43
3,003.2C,28.111285,-114.666413,Compulsory,Mexico,-79
5,005.1C,28.69215,-114.292014,Compulsory,Mexico,-5
5,005.2C,28.433633,-114.790662,Compulsory,Mexico,-112
7,007.1C,28.944925,-114.553198,Compulsory,Mexico,-19
7,007.2C,28.687534,-115.054623,Compulsory,Mexico,-126
9,009.1C,29.203585,-114.803714,Compulsory,Mexico,-34
9,009.2C,28.943167,-115.313858,Compulsory,Mexico,-590
11,011.1C,29.408071,-115.159401,Compulsory,Mexico,-4
11,011.2C,29.153086,-115.660973,Compulsory,Mexico,-1632
13,013.1C,29.611878,-115.517567,Compulsory,Mexico,-3
13,013.2C,29.359962,-116.016889,Compulsory,Mexico,-1657
15,015.1C,29.898047,-115.717179,Compulsory,Mexico,-2
15,015.2C,29.640616,-116.231941,Compulsory,Mexico,-2456
17,017.1C,30.2399,-115.808908,Compulsory,Mexico,-13
17,017.2C,29.984552,-116.321598,Compulsory,Mexico,-2145
19,019.1C,30.504091,-116.051905,Compulsory,Mexico,2
19,019.2C,30.254394,-116.557294,Compulsory,Mexico,-1110
21,021.1C,30.844547,-116.146464,Compulsory,Mexico,-4
21,021.2C,30.580495,-116.660913,Compulsory,Mexico,-1961
23,023.1C,31.144262,-116.320742,Compulsory,Mexico,-19
23,023.2C,30.88258,-116.835069,Compulsory,Mexico,-2146
25,025.1C,31.424149,-116.534284,Compulsory,Mexico,-11
25,025.2C,31.166993,-117.040252,Compulsory,Mexico,-1535
27,027.1C,31.699832,-116.753617,Compulsory,Mexico,-315
27,027.2C,31.441635,-117.260609,Compulsory,Mexico,-1657
29,029.1C,32.010812,-116.911496,Compulsory,Mexico,-215
29,029.2C,31.747587,-117.431723,Compulsory,Mexico,-1376
