001.1UCTD,32.50585199,-117.1976903
001.2UCTD,32.33501195,-117.5360619
001.3UCTD,32.16417191,-117.8744335
001.4UCTD,31.99333187,-118.212805
002.1UCTD,32.62944603,-117.4993445
002.2UCTD,32.45856608,-117.8384824
002.3UCTD,32.28768613,-118.1776202
003.1UCTD,32.97617765,-117.3581778
003.2UCTD,32.80520587,-117.6981921
003.3UCTD,32.6342341,-118.0382063
003.4UCTD,32.46326232,-118.3782205
004.1UCTD,33.10165659,-117.6570475
004.2UCTD,32.93071457,-117.9977024
004.3UCTD,32.75977255,-118.3383574
004.4UCTD,32.58883054,-118.6790123
005.1UCTD,33.36361468,-117.6843133
005.2UCTD,33.19270808,-118.0256049
005.3UCTD,33.02180148,-118.3668965
005.4UCTD,32.85089487,-118.708188
005.5UCTD,32.67998827,-119.0494796
006.1UCTD,33.44172473,-118.0792959
006.2UCTD,33.27085148,-118.4212343
006.3UCTD,33.09997823,-118.7631727
006.4UCTD,32.92910498,-119.1051111
007.1UCTD,33.67921188,-118.1560356
007.2UCTD,33.5084113,-118.4985485
007.3UCTD,33.33761072,-118.8410614
007.4UCTD,33.16681014,-119.1835742
007.5UCTD,32.99600956,-119.5260871
008.1UCTD,33.71595602,-118.6362101
008.2UCTD,33.54522748,-118.9793045
008.3UCTD,33.37449893,-119.322399
008.4UCTD,33.20377039,-119.6654934
009.1UCTD,33.99369123,-118.6328044
009.2UCTD,33.82304738,-118.9764615
009.3UCTD,33.65240354,-119.3201186
009.4UCTD,33.48175969,-119.6637756
009.5UCTD,33.31111585,-120.0074327
009.6UCTD,33.140472,-120.3510898
010.1UCTD,33.94959073,-119.2786184
010.2UCTD,33.77904607,-119.6228146
010.3UCTD,33.6085014,-119.9670109
010.4UCTD,33.43795673,-120.3112071
011.1UCTD,34.19393534,-119.3435209
011.2UCTD,34.02338706,-119.6884706
011.3UCTD,33.85283879,-120.0334202
011.4UCTD,33.68229051,-120.3783698
012.1UCTD,34.26183836,-119.7660564
012.2UCTD,34.09128601,-120.111767
012.3UCTD,33.92073366,-120.4574776
012.4UCTD,33.75018131,-120.8031882
013.1UCTD,34.40160326,-120.0441629
013.2UCTD,34.23115459,-120.3904222
013.3UCTD,34.06070591,-120.7366815
014.1UCTD,34.34392251,-120.7251898
014.2UCTD,34.17356324,-121.0720338
015.1UCTD,34.57491415,-120.7141731
015.2UCTD,34.40450991,-121.0615987
016.1UCTD,34.87188407,-120.8935623
016.2UCTD,34.70139416,-121.2422712
017.1UCTD,35.21683642,-120.9751571
017.2UCTD,35.04635353,-121.3249728
017.3UCTD,34.87587064,-121.6747884
018.1UCTD,35.41938518,-121.3499336
018.2UCTD,35.24880543,-121.7010859
019.1UCTD,35.76173689,-121.4379285
019.2UCTD,35.59114136,-121.7902659
020.1UCTD,35.94272685,-121.8603765
020.2UCTD,35.77210521,-122.2139371
021.1UCTD,36.27113202,-121.9786535
021.2UCTD,36.10054211,-122.3333313
022.1UCTD,36.61446814,-122.0660752
022.2UCTD,36.44361547,-122.4224998
023.1UCTD,36.92954705,-122.2127362
023.2UCTD,36.75874233,-122.5702771
024.1UCTD,37.09726514,-122.6694207
024.2UCTD,36.92648106,-123.0281503
025.1UCTD,37.51867879,-122.5940233
025.2UCTD,37.34781274,-122.9541749
026.1UCTD,37.76265254,-122.8947083
026.2UCTD,37.59125617,-123.2560202
027.1UCTD,38.07956597,-123.0385384
027.2UCTD,37.9085708,-123.4015106
028.1UCTD,38.303149,-123.3835084
028.2UCTD,38.13210187,-123.7478932
