Transect,Waypoint,Latitude,Longitude,Type,,,
62,62.0,44.6123,-124.1643,Compulsory,,,
62,62.1,44.6123,-125.1887,Compulsory,,,
63,63.1,44.7790,-125.2903,Compulsory,,,
63,63.0,44.7790,-124.1175,Compulsory,,,
64,64.0,44.9457,-124.0823,Compulsory,,,
64,64.1,44.9457,-125.2633,Compulsory,,,
65,65.1,45.1123,-125.0768,Compulsory,,,
65,65.0,45.1123,-124.0453,Compulsory,,,
66,66.0,45.2790,-124.0340,Compulsory,,,
66,66.1,45.2790,-125.0270,Compulsory,,,
67,67.1,45.4457,-124.9858,Compulsory,,,
67,67.0,45.4457,-124.0280,Compulsory,,,
68,68.0,45.6123,-124.0125,Compulsory,,,
68,68.1,45.6123,-125.2048,Compulsory,,,
69,69.1,45.7790,-125.0978,Compulsory,,,
69,69.0,45.7790,-124.0258,Compulsory,,,
70,70.0,45.9457,-124.0270,Compulsory,,,
70,70.1,45.9457,-125.0660,Compulsory,,,
71,71.1,46.1123,-125.1730,Compulsory,,,
71,71.0,46.1123,-124.0953,Compulsory,,,
72,72.0,46.2790,-124.2113,Compulsory,,,
72,72.1,46.2790,-125.0437,Compulsory,,,
73,73.1,46.4457,-124.9667,Compulsory,,,
73,73.0,46.4457,-124.2483,Compulsory,,,
74,74.0,46.6123,-124.2423,Compulsory,,,
74,74.1,46.6123,-125.1867,Compulsory,,,
75,75.1,46.7790,-125.3168,Compulsory,,,
75,75.0,46.7790,-124.2925,Compulsory,,,
76,76.0,46.9457,-124.3625,Compulsory,,,
76,76.1,46.9457,-125.2597,Compulsory,,,
77,77.1,47.1123,-125.1465,Compulsory,,,
77,77.0,47.1123,-124.4007,Compulsory,,,
78,78.0,47.2790,-124.4847,Compulsory,,,
78,78.1,47.2790,-125.2900,Compulsory,,,
79,79.1,47.4457,-125.6008,Compulsory,,,
79,79.0,47.4457,-124.5573,Compulsory,,,
80,80.0,47.6123,-124.6185,Compulsory,,,
80,80.1,47.6123,-126.0925,Compulsory,,,
81,81.1,47.7790,-125.8968,Compulsory,,,
81,81.0,47.7790,-124.7073,Compulsory,,,
82,82.0,47.9457,-124.8025,Compulsory,,,
82,82.1,47.9457,-125.8762,Compulsory,,,
83,83.1,48.1123,-126.1623,Compulsory,,,
83,83.0,48.1123,-124.8605,Compulsory,,,
84,84.0,48.2790,-124.8498,Compulsory,,,
84,84.1,48.2790,-126.3070,Compulsory,,,
85,85.1,48.4457,-126.5383,Compulsory,,,
85,85.0,48.4457,-124.7083,Compulsory,,,
86,86.0,48.6123,-124.8323,Compulsory,,,
86,86.1,48.6123,-126.8152,Compulsory,,,
87,87.1,48.7790,-126.9457,Compulsory,,,
87,87.0,48.7790,-125.2562,Compulsory,,,
88,88.0,48.9457,-125.6253,Compulsory,,,
88,88.1,48.9457,-127.0718,Compulsory,,,
89,89.1,49.1123,-127.1768,Compulsory,,,
89,89.0,49.1123,-126.0823,Compulsory,,,
90,90.0,49.2790,-126.3810,Compulsory,,,
90,90.1,49.2790,-127.4510,Compulsory,,,
91,91.1,49.4457,-127.6792,Compulsory,,,
91,91.0,49.4457,-126.7160,Compulsory,,,
92,92.0,49.6123,-126.9485,Compulsory,,,
92,92.1,49.6123,-127.8370,Compulsory,,,
93,93.1,49.7790,-127.8997,Compulsory,,,
93,93.0,49.7790,-127.2273,Compulsory,,,
94,94.0,49.9457,-127.3382,Compulsory,,,
94,94.1,49.9457,-128.0982,Compulsory,,,
95,95.1,50.1123,-128.5160,Compulsory,,,
95,95.0,50.1123,-127.9668,Compulsory,,,
96,96.0,50.2790,-127.9718,Compulsory,,,
96,96.1,50.2790,-128.7557,Compulsory,,,
97,97.1,50.4457,-128.6732,Compulsory,,,
97,97.0,50.4457,-128.0898,Compulsory,,,
98,98.0,50.6123,-128.3468,Compulsory,,,
98,98.1,50.6123,-128.9492,Compulsory,,,
99,99.1,50.7790,-129.5027,Compulsory,,,
99,99.0,50.7790,-128.4702,Compulsory,,,
100,100.0,50.9457,-128.1858,Compulsory,,,
100,100.1,50.9457,-129.7920,Compulsory,,,
101,101.1,51.2457,-130.2972,Compulsory,,,
101,101.0,51.2457,-128.2602,Compulsory,,,
102,102.0,51.6123,-128.1735,Compulsory,,,
102,102.1,51.6123,-130.8212,Compulsory,,,
103,103.1,51.9457,-130.9992,Compulsory,,,
103,103.0,51.9457,-128.5160,Compulsory,,,
104,104.0,52.2790,-128.7515,Compulsory,,,
104,104.1,52.2790,-131.0530,Compulsory,,,
105,105.1,52.6123,-131.4285,Compulsory,,,
105,105.0,52.6123,-129.5230,Compulsory,,,
106,106.0,52.9457,-129.6747,Compulsory,,,
106,106.1,52.9457,-130.7615,Compulsory,,,
107,107.1,53.2790,-131.1070,Compulsory,,,
107,107.0,53.2790,-130.5385,Compulsory,,,
108,108.0,53.6123,-130.6315,Compulsory,,,
108,108.1,53.6123,-130.9510,Compulsory,,,
109,109.1,53.9457,-131.0803,Compulsory,,,
109,109.0,53.9457,-130.9387,Compulsory,,,
110,110.0,54.2790,-130.9083,Compulsory,,,
110,110.1,54.2790,-131.4377,Compulsory,,,
110,110.0,54.2790,-131.4377,Compulsory,,,
111,111.1,54.7967,-131.4377,Compulsory,,,
112,112.1,54.6850,-132.0123,Compulsory,,,
112,112.0,54.1568,-132.0123,Compulsory,,,
113,113.0,54.1408,-132.5858,Compulsory,,,
113,113.1,54.6782,-132.5858,Compulsory,,,
114,114.0,54.6123,-132.7967,Compulsory,,,
114,114.1,54.6123,-134.1755,Compulsory,,,
115,115.1,54.2790,-134.2178,Compulsory,,,
115,115.0,54.2790,-133.0833,Compulsory,,,
116,116.0,53.9457,-133.3342,Compulsory,,,
116,116.1,53.9457,-133.9830,Compulsory,,,
117,117.1,53.6123,-133.4220,Compulsory,,,
117,117.0,53.6123,-133.0078,Compulsory,,,
118,118.1,53.2790,-133.3602,Compulsory,,,
118,118.0,53.2790,-132.7205,Compulsory,,,
119,119.1,52.9457,-132.9368,Compulsory,,,
119,119.0,52.9457,-132.3720,Compulsory,,,
120,120.1,52.6123,-132.0953,Compulsory,,,
120,120.0,52.6123,-131.9408,Compulsory,,,
121,121.1,52.2790,-131.7963,Compulsory,,,
121,121.0,52.2790,-131.4955,Compulsory,,,
122,122.1,51.9457,-131.3195,Compulsory,,,
122,122.0,51.9457,-131.0437,Compulsory,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
