Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
2,002.1A,28.310878,-114.103725,Adaptive,Mexico,-22
2,002.101A,27.899341,-114.895035,Adaptive,Mexico,-57
2,002.102A,27.922206,-115.075213,Adaptive,Mexico,-39
2,002.103A,27.87899,-115.128214,Adaptive,Mexico,-22
2,002.104A,27.776401,-115.113068,Adaptive,Mexico,-50
2,002.2A,26.838595,-116.815969,Adaptive,Mexico,-3772
4,004.1A,28.655792,-114.188018,Adaptive,Mexico,21
4,004.101A,28.178127,-115.104818,Adaptive,Mexico,-87
4,004.102A,28.007425,-115.169557,Adaptive,Mexico,-41
4,004.103A,28.028919,-115.256057,Adaptive,Mexico,-27
4,004.104A,28.064618,-115.325779,Adaptive,Mexico,-9
4,004.2A,27.138671,-117.022279,Adaptive,Mexico,-3554
6,006.1A,28.903456,-114.458745,Adaptive,Mexico,9
6,006.101A,28.334921,-115.516218,Adaptive,Mexico,-334
6,006.102A,28.342695,-115.613184,Adaptive,Mexico,-63
6,006.103A,28.270703,-115.633953,Adaptive,Mexico,-135
6,006.2A,27.966352,-116.194936,Adaptive,Mexico,-4068
8,008.1A,29.148091,-114.736002,Adaptive,Mexico,-32
8,008.2A,28.590081,-115.809587,Adaptive,Mexico,-1816
10,010.1A,29.385482,-115.027982,Adaptive,Mexico,24
10,010.2A,28.468382,-116.748829,Adaptive,Mexico,-3734
12,012.1A,29.57285,-115.417524,Adaptive,Mexico,-3
12,012.2A,29.127149,-116.279319,Adaptive,Mexico,-1134
14,014.1A,29.81509,-115.702046,Adaptive,Mexico,-4
14,014.2A,29.201354,-116.867092,Adaptive,Mexico,-3723
16,016.1A,30.146518,-115.814072,Adaptive,Mexico,-21
16,016.2A,29.49482,-117.063221,Adaptive,Mexico,-2662
18,018.1A,30.425527,-116.02819,Adaptive,Mexico,-4
18,018.2A,29.783584,-117.268163,Adaptive,Mexico,-2634
20,020.1A,30.793133,-116.069714,Adaptive,Mexico,-5
20,020.2A,30.077633,-117.46024,Adaptive,Mexico,-1547
22,022.1A,31.046768,-116.334069,Adaptive,Mexico,-17
22,022.2A,30.488455,-117.427682,Adaptive,Mexico,-2186
24,024.1A,31.356227,-116.489559,Adaptive,Mexico,-15
24,024.2A,30.761358,-117.657895,Adaptive,Mexico,-1962
26,026.1A,31.654739,-116.666804,Adaptive,Mexico,-7
26,026.2A,31.034482,-117.888296,Adaptive,Mexico,-1711
28,028.1A,31.969504,-116.812274,Adaptive,Mexico,137
28,028.2A,31.355517,-118.024721,Adaptive,Mexico,-1502
30,030.1A,32.258304,-117.00931,Adaptive,Mexico,-15
30,030.2A,31.654869,-118.204207,Adaptive,Mexico,-1282
82,082.1A,39.050142,-123.70883,Adaptive,Central CA,-15
82,082.2A,38.747803,-124.35899,Adaptive,Central CA,-3327
84,084.1A,39.3848,-123.826687,Adaptive,Central CA,4
84,084.2A,39.084818,-124.47418,Adaptive,Central CA,-3324
86,086.1A,39.764725,-123.846778,Adaptive,Central CA,57
86,086.2A,39.453858,-124.520287,Adaptive,Central CA,-2620
88,088.1A,40.041332,-124.091126,Adaptive,Central CA,-17
88,088.2A,39.687421,-124.860801,Adaptive,Central CA,-1988
90,090.1A,40.304792,-124.365446,Adaptive,Central CA,42
90,090.2A,39.949332,-125.14145,Adaptive,Central CA,-1886
92,092.1A,40.520401,-124.391169,Adaptive,Central CA,-1
92,092.2A,40.518865,-125.218411,Adaptive,Central CA,-2700
94,094.1A,40.851582,-124.182316,Adaptive,Central CA,0
94,094.2A,40.849757,-125.020911,Adaptive,Central CA,-2976
96,096.1A,41.182602,-124.134983,Adaptive,Central CA,-10
96,096.2A,41.180488,-124.981481,Adaptive,Central CA,-1848
98,098.1A,41.513759,-124.092337,Adaptive,Central CA,-13
98,098.2A,41.511075,-125.045073,Adaptive,Central CA,-1613
1,001.1C,28.085245,-114.162942,Compulsory,Mexico,-6
1,001.101C,27.832241,-114.64965,Compulsory,Mexico,-35
1,001.102C,27.893242,-115.052905,Compulsory,Mexico,-30
1,001.103C,27.862395,-115.103044,Compulsory,Mexico,-20
1,001.104C,27.720824,-115.047757,Compulsory,Mexico,-39
1,001.105C,27.656668,-114.98255,Compulsory,Mexico,-114
1,001.2C,26.702215,-116.728006,Compulsory,Mexico,-3499
3,003.1C,28.50537,-114.10376,Compulsory,Mexico,-22
3,003.101C,27.916013,-115.192953,Compulsory,Mexico,-16
3,003.102C,27.918879,-115.234262,Compulsory,Mexico,-30
3,003.103C,27.875872,-115.267179,Compulsory,Mexico,-89
3,003.2C,26.974864,-116.91488,Compulsory,Mexico,-3606
