Station,Latitude,Longitude
153.1N,46.289572,-124.089994
153.2N,46.288914,-124.178681
154.1N,46.406092,-124.073096
154.2N,46.405425,-124.161684
155.1N,46.522513,-124.075304
155.2N,46.521852,-124.161785
156.1N,46.638853,-124.093763
156.2N,46.638243,-124.172383
157.1N,46.755139,-124.124215
157.2N,46.75454,-124.200351
158.1N,46.87161,-124.136513
158.2N,46.870608,-124.262004
159.1N,46.987787,-124.190587
159.2N,46.987125,-124.272332
160.1N,47.104364,-124.20027
160.2N,47.103696,-124.281662
161.1N,47.220831,-124.228759
161.2N,47.219971,-124.332206
162.1N,47.336874,-124.312738
162.2N,47.336008,-124.4155
163.1N,47.453305,-124.354962
163.2N,47.452572,-124.440788
164.1N,47.569964,-124.375711
164.2N,47.569173,-124.467191
165.1N,47.686378,-124.429684
165.2N,47.685562,-124.522862
166.1N,47.802734,-124.494952
166.2N,47.801119,-124.677024
167.1N,47.918298,-124.652686
167.2N,47.917431,-124.749287
168.1N,48.03488,-124.70069
168.2N,48.034093,-124.787201
169.1N,48.151853,-124.761753
169.2N,48.150662,-124.887682
170.1N,48.269147,-124.692672
170.2N,48.268119,-124.803001
171.1N,48.388772,-124.750431
171.2N,48.387582,-124.871437
