Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
38,038.104C,33.301879,-118.298978,Compulsory,S. CA Bight,71.68912506103516
38,038.105C,33.291048,-118.323656,Compulsory,S. CA Bight,-71.14087677001953
38,038.106C,33.316608,-118.462087,Compulsory,S. CA Bight,-50.35947799682617
38,038.107C,33.332536,-118.481469,Compulsory,S. CA Bight,-52.7550048828125
38,038.108C,32.822242,-119.5064,Compulsory,S. CA Bight,-1364.848876953125
39,039.1C,33.716882,-118.098115,Compulsory,S. CA Bight,-8.778443336486816
39,039.2C,33.478368,-118.580514,Compulsory,S. CA Bight,-164.0161590576172
39,039.3C,33.48257,-118.609579,Compulsory,S. CA Bight,-229.22616577148438
39,039.4C,33.472827,-118.609408,Compulsory,S. CA Bight,-125.08616638183594
39,039.5C,33.466282,-118.605024,Compulsory,S. CA Bight,-53.946163177490234
39,039.6C,32.90909,-119.727011,Compulsory,S. CA Bight,-1467.675048828125
40,040.1C,33.750876,-118.423514,Compulsory,S. CA Bight,-59.131935119628906
40,040.2C,33.248901,-119.438318,Compulsory,S. CA Bight,-34.553829193115234
40,040.3C,33.238627,-119.427377,Compulsory,S. CA Bight,18.00617027282715
40,040.4C,33.222427,-119.393464,Compulsory,S. CA Bight,-24.213830947875977
40,040.5C,33.213486,-119.404284,Compulsory,S. CA Bight,-24.213830947875977
40,040.6C,33.208771,-119.473428,Compulsory,S. CA Bight,111.36555480957031
40,040.7C,33.216516,-119.504475,Compulsory,S. CA Bight,37.545555114746094
40,040.8C,33.011279,-119.917189,Compulsory,S. CA Bight,-844.8192138671875
41,041.1C,33.933741,-118.448661,Compulsory,S. CA Bight,-15.431806564331055
41,041.2C,33.098706,-120.137683,Compulsory,S. CA Bight,-1050.8992919921875
42,042.1C,34.027852,-118.653547,Compulsory,S. CA Bight,71.69451141357422
42,042.2C,33.125779,-120.481002,Compulsory,S. CA Bight,-1365.554443359375
43,043.1C,34.053795,-118.99725,Compulsory,S. CA Bight,-26.242074966430664
43,043.2C,33.27938,-120.568536,Compulsory,S. CA Bight,-1552.0958251953125
44,044.1C,34.140713,-119.217981,Compulsory,S. CA Bight,-17.467588424682617
44,044.2C,33.433039,-120.656102,Compulsory,S. CA Bight,-1423.2757568359375
45,045.101C,34.277134,-119.338514,Compulsory,S. CA Bight,-18.501562118530273
45,045.102C,34.06514,-119.770683,Compulsory,S. CA Bight,-89.77587127685547
45,045.103C,34.086867,-119.923325,Compulsory,S. CA Bight,-74.360595703125
45,045.104C,34.057157,-119.946606,Compulsory,S. CA Bight,-41.00059509277344
45,045.105C,34.03564,-119.903789,Compulsory,S. CA Bight,-26.750595092773438
45,045.106C,34.003347,-119.895861,Compulsory,S. CA Bight,-35.230594635009766
45,045.107C,33.973363,-119.957047,Compulsory,S. CA Bight,-28.651437759399414
45,045.108C,33.937339,-119.956974,Compulsory,S. CA Bight,-34.291439056396484
45,045.109C,33.886486,-120.109371,Compulsory,S. CA Bight,-14.72422981262207
45,045.11C,33.889244,-120.127737,Compulsory,S. CA Bight,-65.29304504394531
