Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
2,002.1C,32.742739,-117.274549,Compulsory,S. CA Bight,-39
2,002.101C,32.614948,-117.544361,Compulsory,S. CA Bight,-1202
2,002.102C,32.643475,-117.833364,Compulsory,S. CA Bight,-665
2,002.103C,32.411432,-117.963071,Compulsory,S. CA Bight,-1754
2,002.2C,32.140633,-118.469483,Compulsory,S. CA Bight,-761
3,003.1C,33.009351,-117.292515,Compulsory,S. CA Bight,-25
3,003.2C,32.384436,-118.535222,Compulsory,S. CA Bight,-876
4,004.1C,33.212054,-117.436772,Compulsory,S. CA Bight,-24
4,004.2C,32.488094,-118.880353,Compulsory,S. CA Bight,-1296
5,005.1C,33.392724,-117.626208,Compulsory,S. CA Bight,-18
5,005.101C,33.003364,-118.405494,Compulsory,S. CA Bight,-838
5,005.102C,33.099278,-118.569141,Compulsory,S. CA Bight,-1274
5,005.103C,33.074048,-118.685723,Compulsory,S. CA Bight,-450
5,005.104C,32.877153,-118.651697,Compulsory,S. CA Bight,-682
5,005.2C,32.630467,-119.148367,Compulsory,S. CA Bight,-214
6,006.1C,33.561333,-117.839933,Compulsory,S. CA Bight,-49
6,006.101C,33.335556,-118.293219,Compulsory,S. CA Bight,-96
6,006.102C,33.310125,-118.292529,Compulsory,S. CA Bight,-71
6,006.103C,33.289488,-118.314544,Compulsory,S. CA Bight,-38
6,006.104C,33.291672,-118.381121,Compulsory,S. CA Bight,-79
6,006.2C,32.792166,-119.388051,Compulsory,S. CA Bight,-820
7,007.1C,33.697452,-118.1196,Compulsory,S. CA Bight,-18
7,007.101C,33.492457,-118.528393,Compulsory,S. CA Bight,-269
7,007.102C,33.490234,-118.619106,Compulsory,S. CA Bight,-248
7,007.103C,33.450202,-118.612939,Compulsory,S. CA Bight,-92
7,007.2C,32.902567,-119.71345,Compulsory,S. CA Bight,-1436
8,008.1C,33.835467,-118.39605,Compulsory,S. CA Bight,-6
8,008.101C,33.314597,-119.444643,Compulsory,S. CA Bight,-91
8,008.102C,33.340542,-119.519994,Compulsory,S. CA Bight,-94
8,008.103C,33.317923,-119.648161,Compulsory,S. CA Bight,-76
8,008.104C,33.282971,-119.664569,Compulsory,S. CA Bight,-62
8,008.105C,33.21899,-119.634332,Compulsory,S. CA Bight,-302
8,008.2C,33.049467,-119.975583,Compulsory,S. CA Bight,-934
9,009.1C,34.016749,-118.586472,Compulsory,S. CA Bight,-27
9,009.2C,33.108139,-120.413057,Compulsory,S. CA Bight,-925
10,010.1C,34.068967,-119.037683,Compulsory,S. CA Bight,0
10,010.2C,33.303617,-120.58235,Compulsory,S. CA Bight,-1447
11,011.1C,34.21387,-119.308232,Compulsory,S. CA Bight,-18
11,011.101C,34.13265,-119.472057,Compulsory,S. CA Bight,-239
11,011.102C,33.978464,-119.498855,Compulsory,S. CA Bight,-91
11,011.103C,33.921114,-119.619439,Compulsory,S. CA Bight,-603
11,011.104C,33.943308,-119.851684,Compulsory,S. CA Bight,-82
11,011.2C,33.520367,-120.705867,Compulsory,S. CA Bight,-1683
12,012.1C,34.383224,-119.523791,Compulsory,S. CA Bight,-15
12,012.101C,34.05632,-120.183886,Compulsory,S. CA Bight,-58
12,012.102C,34.049453,-120.26177,Compulsory,S. CA Bight,-46
12,012.103C,34.008499,-120.280782,Compulsory,S. CA Bight,-32
12,012.2C,33.743433,-120.816867,Compulsory,S. CA Bight,-1705
13,013.1C,34.4357,-119.974917,Compulsory,S. CA Bight,-16
13,013.2C,33.92075,-121.021,Compulsory,S. CA Bight,-2241
14,014.1C,34.462572,-120.481911,Compulsory,S. CA Bight,-16
14,014.2C,34.146067,-121.128017,Compulsory,S. CA Bight,-2083
15,015.1C,34.602288,-120.658389,Compulsory,S. CA Bight,-28
15,015.2C,34.2965,-121.281817,Compulsory,S. CA Bight,-2143
16,016.1C,34.982769,-120.666834,Compulsory,Central CA,-21
16,016.2C,34.55595,-121.53975,Compulsory,Central CA,-1681
17,017.1C,35.2426,-120.922345,Compulsory,Central CA,-65
17,017.2C,34.8143,-121.801133,Compulsory,Central CA,-1518
18,018.1C,35.531301,-121.119565,Compulsory,Central CA,-50
18,018.2C,35.178767,-121.845283,Compulsory,Central CA,-1812
19,019.1C,35.79585,-121.367467,Compulsory,Central CA,-24
19,019.2C,35.46835,-122.043883,Compulsory,Central CA,-1867
20,020.1C,36.062167,-121.612883,Compulsory,Central CA,-162
20,020.2C,35.7619,-122.235083,Compulsory,Central CA,-1735
21,021.1C,36.300574,-121.917441,Compulsory,Central CA,-42
21,021.2C,36.005333,-122.531283,Compulsory,Central CA,-3236
22,022.1C,36.729576,-121.825971,Compulsory,Central CA,-30
22,022.2C,36.426217,-122.4588,Compulsory,Central CA,-2130
23,023.1C,36.959505,-122.150049,Compulsory,Central CA,-50
23,023.2C,36.662017,-122.772733,Compulsory,Central CA,-2850
24,024.1C,37.214125,-122.42404,Compulsory,Central CA,-23
24,024.2C,36.908217,-123.066517,Compulsory,Central CA,-2945
25,025.1C,37.533105,-122.563708,Compulsory,Central CA,-42
25,025.2C,37.194833,-123.276633,Compulsory,Central CA,-1839
26,026.1C,37.853413,-122.703512,Compulsory,Central CA,-29
26,026.101C,37.712827,-123.000187,Compulsory,Central CA,-53
26,026.102C,37.708643,-123.022506,Compulsory,Central CA,-51
26,026.103C,37.700853,-123.025472,Compulsory,Central CA,-24
26,026.2C,37.5102,-123.426883,Compulsory,Central CA,-2355
27,027.1C,38.11035,-122.9732,Compulsory,Central CA,-11
27,027.2C,37.831617,-123.56485,Compulsory,Central CA,-2189
28,028.1C,38.422044,-123.130348,Compulsory,Central CA,-15
28,028.1C,38.105667,-123.8042,Compulsory,Central CA,-2978
1,001.1N,34.516748,-120.690378,Nearshore,S. CA Bight,-99
1,001.2N,34.548646,-120.622788,Nearshore,S. CA Bight,-19
2,002.1N,34.506536,-120.50975,Nearshore,S. CA Bight,-10
2,002.2N,34.472499,-120.579254,Nearshore,S. CA Bight,-79
3,003.1N,34.415061,-120.4956,Nearshore,S. CA Bight,-100
3,003.2N,34.447672,-120.427146,Nearshore,S. CA Bight,-3
4,004.1N,34.431655,-120.259202,Nearshore,S. CA Bight,-76
4,004.2N,34.466534,-120.190221,Nearshore,S. CA Bight,-7
5,005.1N,34.455481,-120.012816,Nearshore,S. CA Bight,69
5,005.2N,34.421018,-120.082736,Nearshore,S. CA Bight,-68
6,006.1N,34.383633,-119.958558,Nearshore,S. CA Bight,-127
6,006.2N,34.414748,-119.891375,Nearshore,S. CA Bight,-2
7,007.1N,34.362892,-119.800405,Nearshore,S. CA Bight,-76
7,007.2N,34.395336,-119.733326,Nearshore,S. CA Bight,-1
8,008.1N,34.362572,-119.600632,Nearshore,S. CA Bight,-43
8,008.2N,34.391089,-119.540107,Nearshore,S. CA Bight,-1
9,009.1N,34.347134,-119.432754,Nearshore,S. CA Bight,-4
9,009.2N,34.312671,-119.502259,Nearshore,S. CA Bight,-48
10,010.1N,34.255871,-119.418604,Nearshore,S. CA Bight,-36
10,010.2N,34.289696,-119.3491,Nearshore,S. CA Bight,-3
11,011.1N,34.229396,-119.271653,Nearshore,S. CA Bight,-4
11,011.2N,34.198115,-119.337446,Nearshore,S. CA Bight,-22
12,012.1N,34.122169,-119.291249,Nearshore,S. CA Bight,-22
12,012.2N,34.153157,-119.227226,Nearshore,S. CA Bight,-5
13,013.1N,34.100262,-119.137355,Nearshore,S. CA Bight,-5
13,013.2N,34.06704,-119.203696,Nearshore,S. CA Bight,-139
14,014.1N,34.031939,-119.075509,Nearshore,S. CA Bight,-522
14,014.2N,34.062591,-119.010552,Nearshore,S. CA Bight,-10
15,015.1N,34.030317,-118.879502,Nearshore,S. CA Bight,-9
15,015.2N,33.998753,-118.944824,Nearshore,S. CA Bight,-158
16,016.1N,33.998434,-118.746716,Nearshore,S. CA Bight,-50
16,016.2N,34.029502,-118.67891,Nearshore,S. CA Bight,-4
17,017.1N,34.016622,-118.512816,Nearshore,S. CA Bight,-8
17,017.2N,33.982479,-118.58232,Nearshore,S. CA Bight,-59
18,018.1N,33.91526,-118.518793,Nearshore,S. CA Bight,-57
18,018.2N,33.948723,-118.450207,Nearshore,S. CA Bight,-5
19,019.1N,33.869735,-118.413912,Nearshore,S. CA Bight,-6
19,019.2N,33.835698,-118.483,Nearshore,S. CA Bight,-116
20,020.1N,33.732736,-118.492989,Nearshore,S. CA Bight,-723
20,020.2N,33.763128,-118.427831,Nearshore,S. CA Bight,-25
21,021.1N,33.713627,-118.328821,Nearshore,S. CA Bight,-12
21,021.2N,33.682531,-118.394351,Nearshore,S. CA Bight,-783
22,022.1N,33.696997,-118.170855,Nearshore,S. CA Bight,-22
22,022.2N,33.730781,-118.102722,Nearshore,S. CA Bight,-4
23,023.1N,33.6654,-118.035071,Nearshore,S. CA Bight,-10
23,023.2N,33.635304,-118.097189,Nearshore,S. CA Bight,-28
24,024.1N,33.582301,-118.007555,Nearshore,S. CA Bight,-51
24,024.2N,33.609801,-117.948022,Nearshore,S. CA Bight,-10
25,025.1N,33.568068,-117.839938,Nearshore,S. CA Bight,3
25,025.2N,33.534649,-117.907253,Nearshore,S. CA Bight,-364
26,026.1N,33.474658,-117.830257,Nearshore,S. CA Bight,-586
26,026.2N,33.509546,-117.760337,Nearshore,S. CA Bight,-17
27,027.1N,33.449981,-117.681676,Nearshore,S. CA Bight,2
27,027.2N,33.416795,-117.750764,Nearshore,S. CA Bight,-498
28,028.1N,33.358955,-117.670168,Nearshore,S. CA Bight,-392
28,028.2N,33.388866,-117.607646,Nearshore,S. CA Bight,-12
29,029.1N,33.334633,-117.52236,Nearshore,S. CA Bight,-4
29,029.2N,33.300596,-117.591552,Nearshore,S. CA Bight,-73
30,030.1N,33.23635,-117.52491,Nearshore,S. CA Bight,-83
30,030.2N,33.269962,-117.456082,Nearshore,S. CA Bight,-7
31,031.1N,33.20051,-117.399705,Nearshore,S. CA Bight,-11
31,031.2N,33.167851,-117.464458,Nearshore,S. CA Bight,-190
32,032.1N,33.098925,-117.406919,Nearshore,S. CA Bight,-331
32,032.2N,33.132853,-117.341816,Nearshore,S. CA Bight,-3
33,033.1N,33.05295,-117.30532,Nearshore,S. CA Bight,-15
33,033.2N,33.018811,-117.372032,Nearshore,S. CA Bight,-406
34,034.1N,32.936909,-117.342378,Nearshore,S. CA Bight,-433
34,034.2N,32.971175,-117.273383,Nearshore,S. CA Bight,-17
35,035.1N,32.881443,-117.259153,Nearshore,S. CA Bight,-24
35,035.2N,32.847561,-117.32417,Nearshore,S. CA Bight,-87
36,036.1N,32.750236,-117.32391,Nearshore,S. CA Bight,-82
36,036.2N,32.782814,-117.25731,Nearshore,S. CA Bight,-13
37,037.1N,32.684821,-117.257839,Nearshore,S. CA Bight,-14
37,037.2N,32.650252,-117.325991,Nearshore,S. CA Bight,-105
38,038.1N,32.618059,-117.19238,Nearshore,S. CA Bight,-26
38,038.2N,32.581414,-117.261825,Nearshore,S. CA Bight,-59
39,039.1N,32.544259,-117.142275,Nearshore,S. CA Bight,-16
39,039.2N,32.508844,-117.21132,Nearshore,S. CA Bight,-45
101,101.1N,34.111157,-119.942199,Nearshore,Santa Cruz Island,-101
101,101.2N,34.079049,-119.922408,Nearshore,Santa Cruz Island,-55
102,102.1N,34.046743,-119.900347,Nearshore,Santa Cruz Island,-12
102,102.2N,34.028117,-119.93494,Nearshore,Santa Cruz Island,-38
103,103.1N,34.000736,-119.886784,Nearshore,Santa Cruz Island,-8
103,103.2N,33.991338,-119.924387,Nearshore,Santa Cruz Island,-51
104,104.1N,33.926681,-119.792309,Nearshore,Santa Cruz Island,-102
104,104.2N,33.958211,-119.791105,Nearshore,Santa Cruz Island,58
105,105.1N,33.966539,-119.706177,Nearshore,Santa Cruz Island,-18
105,105.2N,33.937303,-119.69318,Nearshore,Santa Cruz Island,-74
106,106.1N,33.955314,-119.601062,Nearshore,Santa Cruz Island,-78
106,106.2N,33.986227,-119.610658,Nearshore,Santa Cruz Island,281
107,107.1N,34.023447,-119.531276,Nearshore,Santa Cruz Island,38
107,107.2N,34.006218,-119.496848,Nearshore,Santa Cruz Island,-52
108,108.1N,34.078266,-119.524607,Nearshore,Santa Cruz Island,-160
108,108.2N,34.048798,-119.543868,Nearshore,Santa Cruz Island,-70
109,109.1N,34.054047,-119.639671,Nearshore,Santa Cruz Island,-89
109,109.2N,34.023176,-119.654713,Nearshore,Santa Cruz Island,-79
110,110.1N,34.050768,-119.732622,Nearshore,Santa Cruz Island,-25
110,110.2N,34.082964,-119.715591,Nearshore,Santa Cruz Island,-88
111,111.1N,34.100976,-119.821473,Nearshore,Santa Cruz Island,-88
111,111.2N,34.067302,-119.831369,Nearshore,Santa Cruz Island,-54
201,201.1N,33.512203,-118.534122,Nearshore,Santa Catalina Island,-511
201,201.2N,33.478971,-118.547385,Nearshore,Santa Catalina Island,-108
202,202.1N,33.480545,-118.609665,Nearshore,Santa Catalina Island,-145
202,202.2N,33.501471,-118.640393,Nearshore,Santa Catalina Island,-354
203,203.1N,33.461861,-118.593989,Nearshore,Santa Catalina Island,-17
203,203.2N,33.437033,-118.622772,Nearshore,Santa Catalina Island,-131
204,204.1N,33.397867,-118.543764,Nearshore,Santa Catalina Island,-375
204,204.2N,33.423251,-118.520216,Nearshore,Santa Catalina Island,87
205,205.1N,33.359443,-118.490879,Nearshore,Santa Catalina Island,-71
205,205.2N,33.355562,-118.531021,Nearshore,Santa Catalina Island,-143
206,206.1N,33.284958,-118.442422,Nearshore,Santa Catalina Island,-144
206,206.2N,33.316493,-118.430545,Nearshore,Santa Catalina Island,343
207,207.1N,33.301356,-118.342153,Nearshore,Santa Catalina Island,127
207,207.2N,33.267888,-118.341498,Nearshore,Santa Catalina Island,-168
208,208.1N,33.30763,-118.301526,Nearshore,Santa Catalina Island,-71
208,208.2N,33.308122,-118.261527,Nearshore,Santa Catalina Island,-182
209,209.1N,33.380005,-118.302878,Nearshore,Santa Catalina Island,-366
209,209.2N,33.353624,-118.327289,Nearshore,Santa Catalina Island,-75
210,210.1N,33.404048,-118.362913,Nearshore,Santa Catalina Island,-191
210,210.2N,33.43221,-118.335137,Nearshore,Santa Catalina Island,-857
211,211.1N,33.429192,-118.434126,Nearshore,Santa Catalina Island,-59
211,211.2N,33.458951,-118.412676,Nearshore,Santa Catalina Island,-518
