Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
40,040.1A,28.360556,-114.099872,Adaptive,Mexico,-33
40,040.2A,27.573017,-115.600066,Adaptive,Mexico,-4511
42,042.1A,28.656083,-114.275669,Adaptive,Mexico,-7
42,042.2A,27.991885,-115.546284,Adaptive,Mexico,-124
44,044.1A,28.90955,-114.536344,Adaptive,Mexico,-29
44,044.2A,28.354713,-115.599233,Adaptive,Mexico,-75
46,046.1A,29.168938,-114.783692,Adaptive,Mexico,-59
46,046.2A,28.621149,-115.837353,Adaptive,Mexico,-1796
48,048.1A,29.380545,-115.131582,Adaptive,Mexico,-26
48,048.2A,28.887791,-116.075658,Adaptive,Mexico,-1155
50,050.1A,29.584678,-115.487226,Adaptive,Mexico,-16
50,050.2A,29.158832,-116.306046,Adaptive,Mexico,-1302
52,052.1A,29.816966,-115.786065,Adaptive,Mexico,-10
52,052.2A,29.430704,-116.535391,Adaptive,Mexico,-863
54,054.1A,30.186838,-115.823453,Adaptive,Mexico,-31
54,054.2A,29.702781,-116.764908,Adaptive,Mexico,-1215
56,056.1A,30.457498,-116.055863,Adaptive,Mexico,-25
56,056.2A,29.975067,-116.994601,Adaptive,Mexico,-1632
58,058.1A,30.806086,-116.133849,Adaptive,Mexico,-15
58,058.2A,30.247565,-117.224473,Adaptive,Mexico,-2135
60,060.1A,31.093388,-116.329245,Adaptive,Mexico,-27
60,060.2A,30.520279,-117.454527,Adaptive,Mexico,-2207
62,062.1A,31.386562,-116.518321,Adaptive,Mexico,-22
62,062.2A,30.793211,-117.684766,Adaptive,Mexico,-1933
64,064.1A,31.69151,-116.68368,Adaptive,Mexico,55
64,064.2A,31.066366,-117.915193,Adaptive,Mexico,-1725
66,066.1A,31.988564,-116.864166,Adaptive,Mexico,-6
66,066.2A,31.390999,-118.04457,Adaptive,Mexico,-1261
68,068.1A,32.286075,-117.044093,Adaptive,Mexico,-61
68,068.2A,31.69083,-118.223161,Adaptive,Mexico,-1338
112,112.1A,37.911369,-122.880573,Saildrone,Central CA,-54
112,112.2A,37.604627,-123.516367,Saildrone,Central CA,-3013
114,114.1A,38.225592,-123.029928,Saildrone,Central CA,-39
114,114.2A,37.916452,-123.675404,Saildrone,Central CA,-2792
116,116.1A,38.50226,-123.268286,Saildrone,Central CA,-59
116,116.2A,38.20199,-123.921773,Saildrone,Central CA,-3528
118,118.1A,38.750247,-123.570989,Saildrone,Central CA,-53
118,118.2A,38.449529,-124.211835,Saildrone,Central CA,-3542
120,120.1A,39.054866,-123.742469,Saildrone,Central CA,-51
120,120.2A,38.75302,-124.402189,Saildrone,Central CA,-3396
122,122.1A,39.40562,-123.836298,Saildrone,Central CA,-44
122,122.2A,39.099962,-124.498876,Saildrone,Central CA,-3342
124,124.1A,39.77373,-123.875991,Saildrone,Central CA,-48
124,124.2A,39.466273,-124.538156,Saildrone,Central CA,-2594
126,126.1A,40.044472,-124.137965,Saildrone,Central CA,-233
126,126.2A,39.701946,-124.885677,Saildrone,Central CA,-1928
128,128.1A,40.312425,-124.397469,Saildrone,Central CA,-145
