order,loc,lat,long,brg_m,brg_t,dist_nmi,tx_dist_nmi,brg_tx
1,south,32.8905,-116.7578,316.8,328.5,175,300,240
2,central,34.4936,-120.4859,344,360,835,300,270
4,bc,48.7902,-124.2285,292.9,310,210,100,220
