order,loc,lat,long,brg_m,brg_t,dist_nmi,tx_dist_nmi,brg_tx
3,north,48.7902,-124.2285,292.9,310,210,100,220
2,central,40.5000,-123.2238,344,360,480,300,272
1,south,32.7576,-116.6599,315.8,330,600,300,240
0,mexico,22.9742,-109.8591,315.8,330,695,300,240
