long,lat
-128.471875,50.79135447
-128.39375,50.69193084
-128.33125,50.6314121
-128.253125,50.56224784
-128.128125,50.48876081
-128.034375,50.44985591
-128.003125,50.41959654
-127.9954545,50.40050505
-127.9954925,50.39863653
-127.9950253,50.39676801
-127.9948495,50.39606461
-127.9945582,50.39489949
-127.9940911,50.39303097
-127.9936844,50.39140414
-127.9936239,50.39116245
-127.9933333,50.38929393
-127.9933333,50.38742541
-127.9933333,50.38555689
-127.9933333,50.38368837
-127.9933333,50.38181985
-127.9933333,50.37995133
-127.9933333,50.37808281
-127.9933333,50.37621429
-127.9933333,50.37434577
-127.993476,50.37247725
-127.9936844,50.37122712
-127.9937874,50.37060873
-127.9940989,50.36874021
-127.9944103,50.36687169
-127.9944444,50.36500317
-127.9944444,50.36313465
-127.9944444,50.36126613
-127.9944444,50.35939761
-127.9944444,50.35752909
-127.9947038,50.35566057
-127.9948495,50.35548463
-127.9957847,50.35379205
-127.9960146,50.35348956
-127.9971797,50.35199226
-127.9972101,50.35192353
-127.9983448,50.35048526
-127.9986249,50.35005501
-127.9983448,50.3487251
-127.9982314,50.34818649
-127.997783,50.34631797
-127.9973345,50.34444944
-127.9971797,50.34380438
-127.9968861,50.34258092
-127.9964376,50.3407124
-127.9960146,50.33894973
-127.9959892,50.33884388
-127.9948987,50.33697536
-127.9948495,50.33693487
-127.9936844,50.33597536
-127.9926297,50.33510684
-127.9925193,50.33501693
-127.9913541,50.33406877
-127.9903337,50.33323832
-127.990189,50.33314189
-127.9890239,50.33236514
-127.9878588,50.3315884
-127.9875309,50.3313698
-127.9866937,50.33074394
-127.9856818,50.32950128
-127.9855286,50.3292075
-127.9847069,50.32763276
-127.9843634,50.32697436
-127.9838002,50.32576424
-127.9831983,50.3244712
-127.9830514,50.32389572
-127.9825743,50.3220272
-127.9820973,50.32015868
-127.9820332,50.31990782
-127.9809608,50.31829016
-127.9808681,50.31825553
-127.979703,50.31808722
-127.9785379,50.31791892
-127.9773727,50.31775062
-127.9762076,50.31758232
-127.9750425,50.31741402
-127.9738774,50.31724571
-127.9727123,50.31707741
-127.9715472,50.31690911
-127.970382,50.31674081
-127.9692169,50.31657251
-127.9681725,50.31642164
-127.9680518,50.31638498
-127.9668867,50.31596535
-127.9657216,50.31578608
-127.9645565,50.31572782
-127.9633913,50.31566957
-127.9622262,50.31561131
-127.9610611,50.31555306
-127.959896,50.3154948
-127.9587309,50.31543654
-127.9575658,50.31537829
-127.9564006,50.31532003
-127.9552355,50.31526178
-127.9540704,50.31520352
-127.9529053,50.31514526
-127.9517402,50.31501683
-127.9505751,50.31466772
-127.9499604,50.31455312
-127.9494099,50.31444444
-127.9482448,50.31444444
-127.9470797,50.31444444
-127.9459146,50.31444444
-127.9447495,50.31444444
-127.9435844,50.31444444
-127.9424192,50.31444444
-127.9412541,50.31444444
-127.940089,50.31444444
-127.9389239,50.31444444
-127.9377588,50.31444444
-127.9365937,50.31443196
-127.9354285,50.31439826
-127.9342634,50.31397458
-127.9330983,50.3136791
-127.9319332,50.31389093
-127.9307681,50.31410277
-127.929603,50.31431461
-127.9284378,50.31452645
-127.9282912,50.31455312
-127.9272727,50.31473829
-127.9261076,50.31495013
-127.9249425,50.31516197
-127.9237774,50.31537381
-127.9226123,50.31558565
-127.9214471,50.31579749
-127.920282,50.31600933
-127.9191169,50.31622117
-127.9180143,50.31642164
-127.9179518,50.31642343
-127.9167867,50.31644788
-127.9156216,50.31643651
-127.9151965,50.31642164
-127.9144564,50.3162983
-127.9132913,50.31610411
-127.9121262,50.31590992
-127.9109611,50.31571574
-127.909796,50.31552155
-127.9086309,50.31532737
-127.9074657,50.31513318
-127.9063006,50.31493899
-127.9051355,50.31474481
-127.9039854,50.31455312
-127.9039704,50.31455062
-127.9028053,50.31430417
-127.9016402,50.31373012
-127.900475,50.31285629
-127.8993099,50.31301755
-127.8981448,50.31389139
-127.8972625,50.31455312
-127.8969797,50.31476523
-127.8958146,50.31563906
-127.8947711,50.31642164
-127.8946495,50.31648526
-127.8934843,50.31709445
