FID_1,long,lat
0,-128.471875,50.7913544668588
1,-128.39375,50.6919308357349
2,-128.33125,50.6314121037464
3,-128.253125,50.5622478386167
4,-128.128125,50.4887608069164
5,-128.034375,50.449855907781
6,-128.003125,50.4195965417867
7,-127.995454545455,50.4005050505051
8,-127.995492465913,50.3986365303197
9,-127.995025335867,50.3967680101344
10,-127.994849484948,50.3960646064606
11,-127.994558205821,50.394899489949
12,-127.994091075774,50.3930309697636
13,-127.993684368437,50.391404140414
14,-127.993623945728,50.3911624495783
15,-127.993333333333,50.3892939293929
16,-127.993333333333,50.3874254092076
17,-127.993333333333,50.3855568890222
18,-127.993333333333,50.3836883688369
19,-127.993333333333,50.3818198486515
20,-127.993333333333,50.3799513284662
21,-127.993333333333,50.3780828082808
22,-127.993333333333,50.3762142880955
23,-127.993333333333,50.3743457679101
24,-127.993476014268,50.3724772477248
25,-127.993684368437,50.3712271227124
26,-127.993787434299,50.3706087275394
27,-127.99409885433,50.3687402073541
28,-127.994410274361,50.3668716871687
29,-127.994444444444,50.3650031669834
30,-127.994444444444,50.363134646798
31,-127.994444444444,50.3612661266127
32,-127.994444444444,50.3593976064273
33,-127.994444444444,50.357529086242
34,-127.994703807916,50.3556605660566
35,-127.994849484948,50.355484634353
36,-127.995784711805,50.3537920458713
37,-127.99601460146,50.3534895594823
38,-127.997179717972,50.3519922562269
39,-127.997210106693,50.3519235256859
40,-127.998344834483,50.350485256859
41,-127.998624862486,50.3500550055006
42,-127.998344834483,50.3487250978953
43,-127.998231423142,50.3481864853152
44,-127.997782978298,50.3463179651298
45,-127.997334533453,50.3444494449445
46,-127.997179717972,50.343804380438
47,-127.996886088609,50.3425809247591
48,-127.996437643764,50.3407124045738
49,-127.99601460146,50.3389497283062
50,-127.99598919892,50.3388438843884
51,-127.994898656532,50.3369753642031
52,-127.994849484948,50.3369348699576
53,-127.993684368437,50.3359753622421
54,-127.992629739164,50.3351068440177
55,-127.992519251925,50.3350169302645
56,-127.991354135414,50.3340687664826
57,-127.990333676225,50.3332383238324
58,-127.990189018902,50.3331418856171
59,-127.98902390239,50.332365141276
60,-127.987858785879,50.3315883969349
61,-127.987530895947,50.331369803647
62,-127.986693669367,50.3307439374975
63,-127.985681829052,50.3295012834617
64,-127.985528552855,50.3292075040837
65,-127.984706948956,50.3276327632763
66,-127.984363436344,50.326974364103
67,-127.983800177088,50.325764243091
68,-127.983198319832,50.3244711971196
69,-127.983051390245,50.3238957229056
70,-127.982574321262,50.3220272027203
71,-127.982097252278,50.3201586825349
72,-127.98203320332,50.3199078241157
73,-127.980960813619,50.3182901623496
74,-127.980868086809,50.3182555250904
75,-127.979702970297,50.3180872230956
76,-127.978537853785,50.3179189211007
77,-127.977372737274,50.3177506191059
78,-127.976207620762,50.317582317111
79,-127.97504250425,50.3174140151161
80,-127.973877387739,50.3172457131213
81,-127.972712271227,50.3170774111264
82,-127.971547154715,50.3169091091316
83,-127.970382038204,50.3167408071367
84,-127.969216921692,50.3165725051418
85,-127.968172531539,50.3164216421642
86,-127.968051805181,50.3163849804098
87,-127.966886688669,50.3159653465346
88,-127.965721572157,50.3157860786079
89,-127.964556455646,50.3157278227823
90,-127.963391339134,50.3156695669567
91,-127.962226222622,50.3156113111311
92,-127.961061106111,50.3155530553055
93,-127.959895989599,50.3154947994799
94,-127.958730873087,50.3154365436544
95,-127.957565756576,50.3153782878288
96,-127.956400640064,50.3153200320032
97,-127.955235523552,50.3152617761776
98,-127.954070407041,50.315203520352
99,-127.952905290529,50.3151452645264
100,-127.951740174017,50.3150168307911
101,-127.950575057506,50.3146677203525
102,-127.949960416331,50.3145531219789
103,-127.949409940994,50.3144444444444
104,-127.948244824482,50.3144444444444
105,-127.947079707971,50.3144444444444
106,-127.945914591459,50.3144444444444
107,-127.944749474947,50.3144444444444
108,-127.943584358436,50.3144444444444
109,-127.942419241924,50.3144444444444
110,-127.941254125413,50.3144444444444
111,-127.940089008901,50.3144444444444
112,-127.938923892389,50.3144444444444
113,-127.937758775878,50.3144444444444
114,-127.936593659366,50.3144319648655
115,-127.935428542854,50.3143982580076
116,-127.934263426343,50.3139745792761
117,-127.933098309831,50.3136790951822
118,-127.931933193319,50.313890934548
119,-127.930768076808,50.3141027739138
120,-127.929602960296,50.3143146132795
121,-127.928437843784,50.3145264526453
122,-127.92829116245,50.3145531219789
123,-127.927272727273,50.314738292011
124,-127.926107610761,50.3149501313768
125,-127.924942494249,50.3151619707425
126,-127.923777377738,50.3153738101083
127,-127.922612261226,50.315585649474
128,-127.921447144714,50.3157974888398
129,-127.920282028203,50.3160093282055
130,-127.919116911691,50.3162211675713
131,-127.91801430143,50.3164216421642
132,-127.91795179518,50.316423425943
133,-127.916786678668,50.3164478819346
134,-127.915621562156,50.3164365054592
135,-127.915196519652,50.3164216421642
136,-127.914456445645,50.3162982964963
137,-127.913291329133,50.316104110411
138,-127.912126212621,50.3159099243258
139,-127.91096109611,50.3157157382405
140,-127.909795979598,50.3155215521552
141,-127.908630863086,50.3153273660699
142,-127.907465746575,50.3151331799847
143,-127.906300630063,50.3149389938994
144,-127.905135513551,50.3147448078141
145,-127.90398539854,50.3145531219789
146,-127.90397039704,50.3145506165138
147,-127.902805280528,50.314304173486
148,-127.901640164016,50.3137301230123
149,-127.900475047505,50.3128562856285
150,-127.899309930993,50.3130175517552
151,-127.898144814481,50.3138913891389
152,-127.897262504028,50.3145531219789
153,-127.89697969797,50.3147652265227
154,-127.895814581458,50.3156390639064
155,-127.894771143781,50.3164216421642
156,-127.894649464946,50.3164852624877
157,-127.893484348435,50.3170944488727
158,-127.892319231923,50.3177036352578
159,-127.891197453079,50.3182901623496
160,-127.891154115412,50.3183118311831
161,-127.8899889989,50.3188943894389
162,-127.888823882388,50.3194769476948
163,-127.887658765877,50.3200595059506
164,-127.887460412708,50.3201586825349
165,-127.886493649365,50.3206420642064
166,-127.885328532853,50.3212246224622
167,-127.884163416342,50.3218071807181
168,-127.88299829983,50.3213846384639
169,-127.882507917458,50.3201586825349
170,-127.881833183318,50.3184718471847
171,-127.881720045056,50.3182901623496
172,-127.880668066807,50.317292929486
173,-127.879684079519,50.3164216421642
174,-127.880099306227,50.3145531219789
175,-127.880514532935,50.3126846017935
176,-127.880668066807,50.3119936993699
177,-127.880929759643,50.3108160816082
178,-127.88134498635,50.3089475614228
179,-127.881760213058,50.3070790412375
