order_,name,long,lat
49649,mainland,-117.236938508,32.682441662
49650,mainland,-117.236862115,32.6756707013
49651,mainland,-117.235923752,32.6746902703
49652,mainland,-117.235977087,32.6707497118
49653,mainland,-117.236831664,32.6696091026
49654,mainland,-117.236633289,32.6684188552
49655,mainland,-117.237243726,32.6672516665
49656,mainland,-117.237243726,32.6666412292
49657,mainland,-117.238326953,32.6658898007
49658,mainland,-117.239273061,32.6655807091
49659,mainland,-117.240142775,32.6648292796
49660,mainland,-117.242523269,32.6650809882
49661,mainland,-117.244033873,32.6659202517
49662,mainland,-117.245773302,32.6661682641
49663,mainland,-117.246986431,32.6674690516
49664,mainland,-117.24681094,32.6693114522
49665,mainland,-117.246192934,32.6699981061
49666,mainland,-117.246673644,32.6706696227
49667,mainland,-117.246482838,32.6729698511
49668,mainland,-117.248107855,32.6754684546
49669,mainland,-117.248497034,32.676689153
49670,mainland,-117.248306229,32.6777801251
49671,mainland,-117.250556996,32.6810797952
49672,mainland,-117.250923118,32.6821899534
49673,mainland,-117.250816274,32.6847496353
49674,mainland,-117.251716616,32.6859703337
49675,mainland,-117.251861656,32.6880797574
49676,mainland,-117.252807588,32.6896896356
49677,mainland,-117.252983079,32.6910018651
49678,mainland,-117.254257288,32.6932183082
49679,mainland,-117.254386839,32.6940802778
49680,mainland,-117.255187906,32.6947783729
49681,mainland,-117.255279612,32.695808442
49682,mainland,-117.256027169,32.6968307661
49683,mainland,-117.256027169,32.6980285822
49684,mainland,-117.25684355,32.699058475
49685,mainland,-117.256706254,32.7054214204
49686,mainland,-117.257476869,32.7060012304
49687,mainland,-117.257553086,32.7071914777
49688,mainland,-117.256469684,32.7099991719
49689,mainland,-117.257553086,32.7113914897
49690,mainland,-117.25750732,32.7146415227
49691,mainland,-117.258323702,32.7157784357
49692,mainland,-117.257553086,32.7171096743
49693,mainland,-117.257781912,32.7197494462
49694,mainland,-117.258796667,32.7210005956
49695,mainland,-117.258613606,32.7239188309
49696,mainland,-117.259277378,32.7247200738
49697,mainland,-117.259407104,32.7263297766
49698,mainland,-117.258560096,32.7278289384
49699,mainland,-117.258361898,32.7309684302
49700,mainland,-117.257827677,32.732330297
49701,mainland,-117.257553086,32.7358283414
49702,mainland,-117.255943383,32.7381896499
49703,mainland,-117.256156896,32.7439689128
49704,mainland,-117.257110572,32.7449417751
49705,mainland,-117.25684355,32.7457504114
49706,mainland,-117.255279612,32.7473602895
49707,mainland,-117.254882863,32.7485618018
49708,mainland,-117.254432604,32.7492484558
49709,mainland,-117.254432604,32.7511406707
49710,mainland,-117.253013531,32.7536697253
49711,mainland,-117.251426711,32.755611402
49712,mainland,-117.250312856,32.7566414711
49713,mainland,-117.249221885,32.7590599846
49714,mainland,-117.249687282,32.759918258
49715,mainland,-117.251052845,32.7600784363
49716,mainland,-117.25182346,32.7611083291
49717,mainland,-117.251998952,32.7626113642
49718,mainland,-117.252746509,32.7635803541
49719,mainland,-117.252693175,32.7648887102
49720,mainland,-117.253776577,32.7659187793
49721,mainland,-117.253723068,32.7692489005
49722,mainland,-117.254333505,32.7697486214
49723,mainland,-117.254226661,32.7832794522
49724,mainland,-117.255332946,32.7839203415
49725,mainland,-117.255248984,32.7851714909
49726,mainland,-117.256126444,32.7860297643
49727,mainland,-117.256126444,32.7893296107
49728,mainland,-117.256973276,32.7899703237
49729,mainland,-117.256927511,32.7917518213
49730,mainland,-117.257637048,32.7925606329
49731,mainland,-117.257522635,32.7966689392
49732,mainland,-117.258422801,32.7972489246
49733,mainland,-117.259079003,32.7987213324
49734,mainland,-117.25945287,32.8007202151
49735,mainland,-117.260528527,32.801189484
49736,mainland,-117.261413556,32.8030815227
49737,mainland,-117.262969925,32.8043898789
49738,mainland,-117.263343791,32.805419948
49739,mainland,-117.263946483,32.8064383996
49740,mainland,-117.265212947,32.8074684687
49741,mainland,-117.266586254,32.8076400881
49742,mainland,-117.268173251,32.8082198972
49743,mainland,-117.270721492,32.8097801382
49744,mainland,-117.271842915,32.8119391991
49745,mainland,-117.271743816,32.812919631
49746,mainland,-117.272171016,32.813419351
49747,mainland,-117.272956769,32.8135298921
49748,mainland,-117.273666306,32.8142204185
49749,mainland,-117.274810787,32.814331135
49750,mainland,-117.275360146,32.8150786919
49751,mainland,-117.275016731,32.8178900824
49752,mainland,-117.275360146,32.8183289003
49753,mainland,-117.276863181,32.8186416881
49754,mainland,-117.278503334,32.8200607607
49755,mainland,-117.279502952,32.8201713009
49756,mainland,-117.281776426,32.8224410791
49757,mainland,-117.281776426,32.8300780572
49758,mainland,-117.282707219,32.8308601139
49759,mainland,-117.283248833,32.8318291037
49760,mainland,-117.283042889,32.8361396568
49761,mainland,-117.283576934,32.8423881896
49762,mainland,-117.283447207,32.8443298654
49763,mainland,-117.282676768,32.8447799482
49764,mainland,-117.282028135,32.8448104002
49765,mainland,-117.281486521,32.8455810158
49766,mainland,-117.281280578,32.8466911731
49767,mainland,-117.280326901,32.8474998093
49768,mainland,-117.280143665,32.8486404185
49769,mainland,-117.278236312,32.8501395803
49770,mainland,-117.277023359,32.8504715542
49771,mainland,-117.276412922,32.8513298276
49772,mainland,-117.275863563,32.8516883801
49773,mainland,-117.274986279,32.8518105386
49774,mainland,-117.27410882,32.8526116052
49775,mainland,-117.273216223,32.8528289894
49776,mainland,-117.272003093,32.853530957
49777,mainland,-117.270782395,32.8525580947
49778,mainland,-117.270309429,32.8525008888
49779,mainland,-117.268333429,32.8506088501
49780,mainland,-117.265266457,32.8507804695
49781,mainland,-117.264007563,32.8518295485
49782,mainland,-117.259323142,32.856418565
49783,mainland,-117.259193416,32.8582497007
49784,mainland,-117.257972718,32.8603096626
49785,mainland,-117.256973276,32.8626709702
49786,mainland,-117.256767333,32.8648911103
49787,mainland,-117.256103561,32.8661690146
49788,mainland,-117.255943383,32.8688584237
49789,mainland,-117.255310064,32.8700599359
49790,mainland,-117.255043041,32.871669815
49791,mainland,-117.253143258,32.874919848
49792,mainland,-117.252723626,32.8761405463
49793,mainland,-117.252471917,32.8800811049
49794,mainland,-117.254303053,32.8835793255
49795,mainland,-117.254386839,32.8848915551
49796,mainland,-117.255187906,32.8859710851
49797,mainland,-117.255218533,32.8871689011
49798,mainland,-117.254333505,32.8884392376
49799,mainland,-117.254142699,32.8948097517
49800,mainland,-117.254142699,32.8951911874
49801,mainland,-117.254226661,32.8981094218
49802,mainland,-117.255172768,32.8996085845
49803,mainland,-117.255111689,32.9020806085
49804,mainland,-117.256072934,32.9036102222
49805,mainland,-117.256286622,32.905109384
49806,mainland,-117.257637048,32.9078598723
49807,mainland,-117.257919383,32.9092215628
49808,mainland,-117.258468566,32.9099692951
49809,mainland,-117.258903512,32.9111709837
49810,mainland,-117.259216298,32.9115295362
49811,mainland,-117.259170534,32.9130591499
49812,mainland,-117.260391232,32.9141883179
49813,mainland,-117.260307271,32.9154700956
49814,mainland,-117.259170534,32.9166717841
49815,mainland,-117.259986914,32.9184990473
49816,mainland,-117.259918266,32.9201087492
49817,mainland,-117.260803294,32.9220009642
49818,mainland,-117.260597175,32.9256095496
49819,mainland,-117.26167301,32.9273299689
49820,mainland,-117.261779854,32.9286385014
49821,mainland,-117.262603803,32.9300612702
49822,mainland,-117.262603803,32.9312782724
49823,mainland,-117.263366673,32.9324683434
49824,mainland,-117.263496401,32.9339713777
49825,mainland,-117.264388997,32.9365310605
49826,mainland,-117.26499943499999,32.9373893339
49827,mainland,-117.265373301,32.9414214236
49828,mainland,-117.266006445,32.94261167
49829,mainland,-117.266067524,32.9455299053
49830,mainland,-117.266693099,32.946891772
49831,mainland,-117.266937238,32.9482193144
49832,mainland,-117.267562814,32.949138667
49833,mainland,-117.267608578,32.9501685598
49834,mainland,-117.268859905,32.9511908831
49835,mainland,-117.269203144,32.9530792255
49836,mainland,-117.269996642,32.9538917342
49837,mainland,-117.270027093,32.9588584893
49838,mainland,-117.270828159,32.9605789086
49839,mainland,-117.270782395,32.9658088134
49840,mainland,-117.271133379,32.9668311375
49841,mainland,-117.271743816,32.9673308584
49842,mainland,-117.272109937,32.9700813459
49843,mainland,-117.272583079,32.9710617778
49844,mainland,-117.272720374,32.9731101222
49845,mainland,-117.273467931,32.9742202795
49846,mainland,-117.273467931,32.9771385148
49847,mainland,-117.274223409,32.9780006607
49848,mainland,-117.274383587,32.9815787942
49849,mainland,-117.275192223,32.9823913029
49850,mainland,-117.275421225,32.9857216004
49851,mainland,-117.275939955,32.9867514932
49852,mainland,-117.275970407,32.9891700076
49853,mainland,-117.276863181,32.9897804449
49854,mainland,-117.276992732,32.9932212834
49855,mainland,-117.278640806,32.9963607753
49856,mainland,-117.279533404,32.9975585914
49857,mainland,-117.280433569,32.9984207372
49858,mainland,-117.280082762,32.9999999881
49859,mainland,-117.280906711,33.001579239
49860,mainland,-117.280982928,33.0024985916
49861,mainland,-117.280776984,33.0034218159
49862,mainland,-117.281013555,33.0050010676
49863,mainland,-117.281463638,33.0053596202
49864,mainland,-117.281677326,33.0059700575
49865,mainland,-117.281463638,33.0072516588
49866,mainland,-117.281776426,33.008831086
49867,mainland,-117.282356235,33.0098914298
49868,mainland,-117.283111537,33.0121117463
49869,mainland,-117.284416197,33.0131416391
49870,mainland,-117.284286471,33.0141106289
49871,mainland,-117.284896908,33.0145607117
49872,mainland,-117.28511042,33.0155297015
49873,mainland,-117.285720857,33.016281131
49874,mainland,-117.286003193,33.0174713783
49875,mainland,-117.287406953,33.0199393536
49876,mainland,-117.287513797,33.0205307811
49877,mainland,-117.288276667,33.0213089653
49878,mainland,-117.288528376,33.0214995946
49879,mainland,-117.289283678,33.022689842
49880,mainland,-117.289947449,33.0233115442
49881,mainland,-117.290046724,33.0238304512
49882,mainland,-117.29158021,33.0257796967
49883,mainland,-117.291717506,33.0264702231
49884,mainland,-117.292968832,33.0277785793
49885,mainland,-117.293296757,33.0284691058
49886,mainland,-117.293777467,33.0302506034
49887,mainland,-117.29418953,33.0307503243
49888,mainland,-117.294418356,33.0316696769
49889,mainland,-117.294662496,33.0319403953
49890,mainland,-117.295066813,33.0333290169
49891,mainland,-117.295837429,33.0343094479
49892,mainland,-117.297470014,33.0355605982
49893,mainland,-117.298828184,33.0358886988
49894,mainland,-117.299102775,33.0365790499
49895,mainland,-117.299186737,33.0406685217
49896,mainland,-117.299469073,33.041809131
49897,mainland,-117.300109786,33.0428314551
49898,mainland,-117.300422749,33.0441398113
49899,mainland,-117.300781302,33.0444182747
49900,mainland,-117.300636262,33.0458602306
49901,mainland,-117.300956793,33.0465011189
49902,mainland,-117.30166633,33.047168763
49903,mainland,-117.30166633,33.0481910862
49904,mainland,-117.302078217,33.0494193542
49905,mainland,-117.302406318,33.049808534
49906,mainland,-117.302833518,33.0518112892
49907,mainland,-117.303939804,33.0535811702
49908,mainland,-117.304336553,33.0548897027
49909,mainland,-117.304977442,33.0558090544
49910,mainland,-117.305793822,33.057689652
49911,mainland,-117.305572565,33.059249893
49912,mainland,-117.30586247,33.0600013224
49913,mainland,-117.306610027,33.0605582492
49914,mainland,-117.307357759,33.0625610043
49915,mainland,-117.307632527,33.0643310616
49916,mainland,-117.308059727,33.0646896141
49917,mainland,-117.308242788,33.0654984257
49918,mainland,-117.310028159,33.0673904644
49919,mainland,-117.310256985,33.0690804326
49920,mainland,-117.310996972,33.0706901345
49921,mainland,-117.311752274,33.0717202036
49922,mainland,-117.311752274,33.0724182988
49923,mainland,-117.312156592,33.0729217159
49924,mainland,-117.312438928,33.074138718
49925,mainland,-117.312332084,33.0754395055
49926,mainland,-117.312576224,33.07582851
49927,mainland,-117.313140896,33.0758895883
49928,mainland,-117.313606292,33.0770606495
49929,mainland,-117.313476566,33.0783081027
49930,mainland,-117.31416322,33.0789414224
49931,mainland,-117.313926649,33.0796699695
49932,mainland,-117.314117454,33.0805282429
49933,mainland,-117.314773481,33.0812796723
49934,mainland,-117.315193113,33.0814400259
49935,mainland,-117.31537635,33.0836409799
49936,mainland,-117.316093455,33.0850600526
49937,mainland,-117.316093455,33.0858611201
49938,mainland,-117.316703716,33.086139759700004
49939,mainland,-117.316886952,33.0865592152
49940,mainland,-117.316833443,33.0882798099
49941,mainland,-117.317466762,33.0897483443
49942,mainland,-117.318283143,33.09049995
49943,mainland,-117.318222064,33.0908317477
49944,mainland,-117.317749098,33.0916405593
49945,mainland,-117.318557735,33.0926704521
49946,mainland,-117.318496655,33.0930786427
49947,mainland,-117.319313036,33.0947189728
49948,mainland,-117.319808884,33.0951880655
49949,mainland,-117.320327791,33.0969199259
49950,mainland,-117.320602382,33.0970802804
49951,mainland,-117.320831384,33.0992507825
49952,mainland,-117.321777316,33.1000595941
49953,mainland,-117.322418204,33.102329196
49954,mainland,-117.322418204,33.103309627
49955,mainland,-117.323303232,33.1040001535
49956,mainland,-117.323638902,33.1051902245
49957,mainland,-117.324111868,33.1054686879
49958,mainland,-117.324172947,33.1070785661
49959,mainland,-117.325126623,33.1080017912
49960,mainland,-117.324996897,33.1083603438
49961,mainland,-117.325683551,33.1099395955
49962,mainland,-117.325912552,33.1124191883
49963,mainland,-117.326522814,33.1129189092
49964,mainland,-117.326812719,33.1143608651
49965,mainland,-117.327423156,33.1151084211
49966,mainland,-117.327499373,33.1155586802
49967,mainland,-117.328376832,33.1166915454
49968,mainland,-117.328376832,33.117168383
49969,mainland,-117.329147271,33.1183089923
49970,mainland,-117.329276998,33.1191711381
49971,mainland,-117.330078065,33.1197815755
49972,mainland,-117.329826357,33.1204680532
49973,mainland,-117.330917328,33.1214981222
49974,mainland,-117.331527765,33.1219710883
49975,mainland,-117.331733709,33.1224213474
49976,mainland,-117.33167263,33.1232796208
49977,mainland,-117.332076948,33.1236114175
49978,mainland,-117.332443245,33.1250000391
49979,mainland,-117.333183233,33.1256903902
49980,mainland,-117.334472579,33.12607957
49981,mainland,-117.33495329,33.1264685745
49982,mainland,-117.33592228,33.1266898311
49983,mainland,-117.337280274,33.1276702621
49984,mainland,-117.337417569,33.1281891691
49985,mainland,-117.337280274,33.1286392519
49986,mainland,-117.339073213,33.1304207504
49987,mainland,-117.339477531,33.1318588338
49988,mainland,-117.340072655,33.1324196331
49989,mainland,-117.340072655,33.1332206997
49990,mainland,-117.34084327,33.1340293359
49991,mainland,-117.34097282,33.1349411189
49992,mainland,-117.341667219,33.1356888522
49993,mainland,-117.341720554,33.1365814491
49994,mainland,-117.34161371,33.1373291823
49995,mainland,-117.343307549,33.1389999635
49996,mainland,-117.343383766,33.1397513929
49997,mainland,-117.34391781,33.1404190361
49998,mainland,-117.34480284,33.1410599254
49999,mainland,-117.34507743,33.1426087252
50000,mainland,-117.34652713,33.1439209539
50001,mainland,-117.347000096,33.1452789482
50002,mainland,-117.348022421,33.1462516342
50003,mainland,-117.349113392,33.1468886501
50004,mainland,-117.349426356,33.1484413224
50005,mainland,-117.351577672,33.1505012843
50006,mainland,-117.351669378,33.1508293858
50007,mainland,-117.352546662,33.151969995
50008,mainland,-117.352752605,33.1528282684
50009,mainland,-117.354476896,33.1540794178
50010,mainland,-117.35579687,33.1559181231
50011,mainland,-117.355827322,33.1565590115
50012,mainland,-117.356582624,33.1575813356
50013,mainland,-117.359191944,33.1598090445
50014,mainland,-117.359359691,33.1605606493
50015,mainland,-117.359863284,33.1611709103
50016,mainland,-117.359893735,33.1620788218
50017,mainland,-117.360687233,33.1628913296
50018,mainland,-117.361717302,33.1644401294
50019,mainland,-117.361717302,33.1648293092
50020,mainland,-117.362266484,33.1655311015
50021,mainland,-117.3650131,33.1676407006
50022,mainland,-117.365547144,33.1687202306
50023,mainland,-117.366638116,33.1699219191
50024,mainland,-117.366668744,33.1707191132
50025,mainland,-117.369926521,33.1740798626
50026,mainland,-117.37090308,33.1746711138
50027,mainland,-117.371437124,33.1756401036
50028,mainland,-117.373168985,33.1771697173
50029,mainland,-117.374732922,33.1783103266
50030,mainland,-117.375137416,33.1798591264
50031,mainland,-117.376037582,33.1800307458
50032,mainland,-117.376426763,33.1805000148
50033,mainland,-117.376617392,33.1813317096
50034,mainland,-117.377609264,33.1824988983
50035,mainland,-117.380546509,33.1851082183
50036,mainland,-117.381439283,33.1862488275
50037,mainland,-117.381637658,33.1873894368
50038,mainland,-117.384109506,33.1895789487
50039,mainland,-117.384643551,33.1903610055
50040,mainland,-117.384452745,33.1908302753
50041,mainland,-117.384719768,33.1912803581
50042,mainland,-117.386688198,33.1930007774
50043,mainland,-117.389587424,33.1963081925
50044,mainland,-117.390136782,33.1974982635
50045,mainland,-117.390609748,33.1977501484
50046,mainland,-117.392532414,33.2000313669
50047,mainland,-117.392669709,33.200828561
50048,mainland,-117.394943183,33.2029418572
50049,mainland,-117.39985660399999,33.2082481549
50050,mainland,-117.399780212,33.2089995844
50051,mainland,-117.400802535,33.2099685742
50052,mainland,-117.402832046,33.2099189361
50053,mainland,-117.403747525,33.2101898308
50054,mainland,-117.405853253,33.2120781733
50055,mainland,-117.406013431,33.2141914686
50056,mainland,-117.406646751,33.2148094755
50057,mainland,-117.406776477,33.2158317987
50058,mainland,-117.407302777,33.2166404349
50059,mainland,-117.407531779,33.2173881672
50060,mainland,-117.408248884,33.2182503131
50061,mainland,-117.408248884,33.2185784146
50062,mainland,-117.410552986,33.2220306943
50063,mainland,-117.412887539,33.224578935
50064,mainland,-117.413421583,33.2248610955
50065,mainland,-117.41403202,33.225669907
50066,mainland,-117.414176885,33.2266883587
50067,mainland,-117.415557938,33.2281417557
50068,mainland,-117.417106561,33.2284202191
50069,mainland,-117.417762763,33.2301902756
50070,mainland,-117.419006344,33.2316093491
50071,mainland,-117.419113189,33.2324218569
50072,mainland,-117.421722333,33.2346382999
50073,mainland,-117.422287004,33.2356681927
50074,mainland,-117.422470066,33.2366905169
50075,mainland,-117.424713087,33.2389717363
50076,mainland,-117.42494209,33.2398300096
50077,mainland,-117.425422625,33.2405281048
50078,mainland,-117.427276643,33.2420615901
50079,mainland,-117.427406369,33.243110668999996
50080,mainland,-117.429527234,33.2453308092
50081,mainland,-117.431716922,33.2471885243
50082,mainland,-117.431808452,33.2484206639
50083,mainland,-117.432220515,33.2492789373
50084,mainland,-117.43241889,33.2507515205
50085,mainland,-117.434753443,33.2531700349
50086,mainland,-117.435028034,33.2542495649
50087,mainland,-117.43853752,33.2578315709
50088,mainland,-117.441703768,33.2606887269
50089,mainland,-117.442169164,33.2615586177
50090,mainland,-117.442169164,33.2621116729
50091,mainland,-117.442497265,33.2625809419
50092,mainland,-117.443572923,33.2625809419
50093,mainland,-117.444641188,33.2634200291
50094,mainland,-117.445426942,33.264438657
50095,mainland,-117.445999182,33.2658309748
50096,mainland,-117.44814293,33.2680014769
50097,mainland,-117.448333735,33.2682190373
50098,mainland,-117.449966497,33.269580904
50099,mainland,-117.449920731,33.2705611597
50100,mainland,-117.450943055,33.2718314952
50101,mainland,-117.453933635,33.2746085621
50102,mainland,-117.454246598,33.2757797996
50103,mainland,-117.45567324,33.277030949
50104,mainland,-117.455886928,33.2774695906
50105,mainland,-117.458557151,33.2800599007
50106,mainland,-117.458892821,33.2807197999
50107,mainland,-117.460189736,33.2816391516
50108,mainland,-117.460693329,33.2824402191
50109,mainland,-117.460563602,33.2829703911
50110,mainland,-117.460746839,33.2834206501
50111,mainland,-117.463287336,33.2856407894
50112,mainland,-117.464073265,33.286560142
50113,mainland,-117.464248581,33.2874717497
50114,mainland,-117.464942979,33.2883300231
50115,mainland,-117.46822364,33.2915305943
50116,mainland,-117.468780566,33.2923888677
50117,mainland,-117.469596948,33.2929382257
50118,mainland,-117.469940186,33.2940291969
50119,mainland,-117.474471996,33.2987785679
50120,mainland,-117.476058992,33.2999686389
50121,mainland,-117.478668137,33.3026886753
50122,mainland,-117.479278574,33.304031356
50123,mainland,-117.479721088,33.3040809931
50124,mainland,-117.48071296,33.3048095402
50125,mainland,-117.482223563,33.3054389874
50126,mainland,-117.483383183,33.3066406759
50127,mainland,-117.484702981,33.3087500996
50128,mainland,-117.488456782,33.3126906581
50129,mainland,-117.491363576,33.3153114193
50130,mainland,-117.493423538,33.3176688553
50131,mainland,-117.49561305,33.3195800793
50132,mainland,-117.496406548,33.3207206894
50133,mainland,-117.496963476,33.3221702131
50134,mainland,-117.498573354,33.3237800922
50135,mainland,-117.500183057,33.3242798131
50136,mainland,-117.502243019,33.3261718517
50137,mainland,-117.503013634,33.3272513817
50138,mainland,-117.503280656,33.3281096551
50139,mainland,-117.504257215,33.3283309126
50140,mainland,-117.507316618,33.3313903154
50141,mainland,-117.507888859,33.3321419202
50142,mainland,-117.50937658,33.3326682206
50143,mainland,-117.511383031,33.3348885361
50144,mainland,-117.512283374,33.3354987971
50145,mainland,-117.513366776,33.3359184289
50146,mainland,-117.515556289,33.3380813623
50147,mainland,-117.516532848,33.3384209049
50148,mainland,-117.518173178,33.3397788992
50149,mainland,-117.519332973,33.3401106969
50150,mainland,-117.520492592,33.3413581501
50151,mainland,-117.522140492,33.3419990384
50152,mainland,-117.522888224,33.3430785693
50153,mainland,-117.524322435,33.343418112
50154,mainland,-117.52461234,33.3439407152
50155,mainland,-117.52597051,33.3449401561
50156,mainland,-117.526992834,33.3453101506
50157,mainland,-117.53050232,33.3487816165
50158,mainland,-117.531250053,33.34917062
50159,mainland,-117.53180698,33.3492813365
